ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
13;VRbio;5;2022-03-03_12-38-09;TP;1;4;6,464681;7,073659;11,70344;0,61;4,63
13;VRbio;5;2022-03-03_12-38-09;MWD;1;2;15,72347;16,38535;17,83556;0,66;1,45
13;VRbio;5;2022-03-03_12-38-09;TP;2;2;21,85656;22,37004;23,59976;0,51;1,23
13;VRbio;5;2022-03-03_12-38-09;MWD;2;4;27,61964;28,20036;30,56889;0,58;2,37
13;VRbio;5;2022-03-03_12-38-09;TP;3;8;34,58965;35,384;44,77723;0,79;9,39
13;VRbio;5;2022-03-03_12-38-09;MWD;3;1;48,79718;49,17714;50,27127;0,38;1,09
13;VRbio;5;2022-03-03_12-38-09;TP;4;1;54,28283;55,16451;56,31586;0,88;1,15
13;VRbio;5;2022-03-03_12-38-09;MWD;4;8;60,33588;60,84665;67,01616;0,51;6,17
13;VRbio;5;2022-03-03_12-38-09;TP;5;8;71,03709;71,46152;79,51481;0,42;8,05
13;VRbio;5;2022-03-03_12-38-09;MWD;5;2;83,5354;83,94968;85,34525;0,41;1,40
13;VRbio;5;2022-03-03_12-38-09;TP;6;4;89,3662;89,88016;93,66687;0,51;3,79
13;VRbio;5;2022-03-03_12-38-09;MWD;6;1;97,68694;98,50319;100,0786;0,82;1,58
13;VRbio;5;2022-03-03_12-38-09;TP;7;1;104,0996;104,6357;105,4844;0,54;0,85
13;VRbio;5;2022-03-03_12-38-09;MWD;7;4;109,5048;110,064;113,9957;0,56;3,93
13;VRbio;5;2022-03-03_12-38-09;TP;8;2;118,0172;118,564;119,8148;0,55;1,25
13;VRbio;5;2022-03-03_12-38-09;MWD;8;8;123,8358;124,2169;129,9686;0,38;5,75
13;VRbio;5;2022-03-03_12-38-09;TP;9;2;133,9895;134,4478;135,8672;0,46;1,42
13;VRbio;5;2022-03-03_12-38-09;MWD;9;1;139,8871;140,2781;141,3619;0,39;1,08
13;VRbio;5;2022-03-03_12-38-09;TP;10;8;145,383;145,8519;154,229;0,47;8,38
13;VRbio;5;2022-03-03_12-38-09;MWD;10;2;158,25;158,7862;160,3287;0,54;1,54
13;VRbio;5;2022-03-03_12-38-09;TP;11;4;164,3491;164,8961;168,5782;0,55;3,68
13;VRbio;5;2022-03-03_12-38-09;MWD;11;8;172,5931;173,397;179,2793;0,80;5,88
13;VRbio;5;2022-03-03_12-38-09;TP;12;1;183,2929;183,8185;184,6674;0,53;0,85
13;VRbio;5;2022-03-03_12-38-09;MWD;12;4;188,6875;189,1125;192,587;0,43;3,47
13;VRbio;5;2022-03-03_12-38-09;TP;13;8;196,6077;197,0999;205,9452;0,49;8,85
13;VRbio;5;2022-03-03_12-38-09;MWD;13;4;209,9663;210,4688;213,5525;0,50;3,08
13;VRbio;5;2022-03-03_12-38-09;TP;14;1;217,5726;218,0649;218,936;0,49;0,87
13;VRbio;5;2022-03-03_12-38-09;MWD;14;8;222,9566;223,4802;229,2013;0,52;5,72
13;VRbio;5;2022-03-03_12-38-09;TP;15;4;233,2218;233,8811;237,3325;0,66;3,45
13;VRbio;5;2022-03-03_12-38-09;MWD;15;1;241,3536;242,0132;242,9845;0,66;0,97
13;VRbio;5;2022-03-03_12-38-09;TP;16;2;247,0058;247,4189;248,5808;0,41;1,16
13;VRbio;5;2022-03-03_12-38-09;MWD;16;2;252,6014;253,2503;255,9194;0,65;2,67
13;VRbio;5;2022-03-03_12-38-09;TP;17;8;259,93;260,4207;269,3456;0,49;8,92
13;VRbio;5;2022-03-03_12-38-09;MWD;17;1;273,3667;273,9363;275,1198;0,57;1,18
13;VRbio;5;2022-03-03_12-38-09;TP;18;1;279,1402;280,1022;280,9174;0,96;0,82
13;VRbio;5;2022-03-03_12-38-09;MWD;18;8;284,9378;285,4519;291,9862;0,51;6,53
13;VRbio;5;2022-03-03_12-38-09;TP;19;4;296,0071;296,4333;299,7612;0,43;3,33
13;VRbio;5;2022-03-03_12-38-09;MWD;19;4;303,7811;304,251;307,8143;0,47;3,56
13;VRbio;5;2022-03-03_12-38-09;TP;20;2;311,8346;312,5172;313,9356;0,68;1,42
13;VRbio;5;2022-03-03_12-38-09;MWD;20;2;317,956;318,6151;321,3522;0,66;2,74
