ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
11;VRbio;1;2022-03-02_17-14-43;TP;1;4;6,516506;15,34685;18,47993;8,83;3,13
11;VRbio;1;2022-03-02_17-14-43;MWD;1;4;22,50006;25,29283;29,80551;2,79;4,51
11;VRbio;1;2022-03-02_17-14-43;TP;2;8;33,82716;35,97172;42,22687;2,14;6,26
11;VRbio;1;2022-03-02_17-14-43;MWD;2;8;46,24674;53,32849;66,34198;7,08;13,01
11;VRbio;1;2022-03-02_17-14-43;TP;3;2;70,36301;76,09299;78,03686;5,73;1,94
11;VRbio;1;2022-03-02_17-14-43;MWD;3;2;82,05695;92,31165;95,0253;10,25;2,71
11;VRbio;1;2022-03-02_17-14-43;TP;4;1;99,04662;100,4214;101,661;1,37;1,24
11;VRbio;1;2022-03-02_17-14-43;MWD;4;1;105,6818;107,5251;109,1549;1,84;1,63
11;VRbio;1;2022-03-02_17-14-43;TP;5;1;113,1769;114,7416;116,2265;1,56;1,48
11;VRbio;1;2022-03-02_17-14-43;MWD;5;2;120,2464;121,61;124,4449;1,36;2,83
11;VRbio;1;2022-03-02_17-14-43;TP;6;4;128,4573;130,9703;134,4781;2,51;3,51
11;VRbio;1;2022-03-02_17-14-43;MWD;6;8;138,4984;141,0114;152,4272;2,51;11,42
11;VRbio;1;2022-03-02_17-14-43;TP;7;2;156,444;157,5101;159,2869;1,07;1,78
11;VRbio;1;2022-03-02_17-14-43;MWD;7;1;163,3077;165,396;167,0115;2,09;1,62
11;VRbio;1;2022-03-02_17-14-43;TP;8;8;171,0256;172,2202;179,0122;1,19;6,79
11;VRbio;1;2022-03-02_17-14-43;MWD;8;4;183,0315;186,3938;191,6437;3,36;5,25
11;VRbio;1;2022-03-02_17-14-43;TP;9;8;195,6655;197,509;205,0931;1,84;7,58
11;VRbio;1;2022-03-02_17-14-43;MWD;9;8;209,1127;210,7109;219,7589;1,60;9,05
11;VRbio;1;2022-03-02_17-14-43;TP;10;1;223,7699;224,8751;225,9921;1,11;1,12
11;VRbio;1;2022-03-02_17-14-43;MWD;10;2;230,0124;231,1375;233,8441;1,13;2,71
11;VRbio;1;2022-03-02_17-14-43;TP;11;2;237,8648;239,7535;242,3779;1,89;2,62
11;VRbio;1;2022-03-02_17-14-43;MWD;11;4;246,398;249,0918;253,011;2,69;3,92
11;VRbio;1;2022-03-02_17-14-43;TP;12;4;257,0321;259,6798;263,1439;2,65;3,46
11;VRbio;1;2022-03-02_17-14-43;MWD;12;1;267,1632;271,4533;273,4038;4,29;1,95
11;VRbio;1;2022-03-02_17-14-43;TP;13;4;277,4173;278,2873;281,571;0,87;3,28
11;VRbio;1;2022-03-02_17-14-43;MWD;13;2;285,5932;287,7936;290,7626;2,20;2,97
11;VRbio;1;2022-03-02_17-14-43;TP;14;1;294,7751;295,9593;297,9038;1,18;1,94
11;VRbio;1;2022-03-02_17-14-43;MWD;14;4;301,9235;304,6602;308,9385;2,74;4,28
11;VRbio;1;2022-03-02_17-14-43;TP;15;8;312,9708;314,4452;320,9911;1,47;6,55
11;VRbio;1;2022-03-02_17-14-43;MWD;15;1;325,011;326,5202;328,0282;1,51;1,51
11;VRbio;1;2022-03-02_17-14-43;TP;16;2;332,0486;333,3109;335,8912;1,26;2,58
11;VRbio;1;2022-03-02_17-14-43;MWD;16;8;339,9116;343,1063;353,6961;3,19;10,59
11;VRbio;1;2022-03-02_17-14-43;TP;17;4;357,7167;359,2926;363,2121;1,58;3,92
11;VRbio;1;2022-03-02_17-14-43;MWD;17;2;367,2328;368,5963;371,1553;1,36;2,56
11;VRbio;1;2022-03-02_17-14-43;TP;18;2;375,1753;376,1262;379,8899;0,95;3,76
11;VRbio;1;2022-03-02_17-14-43;MWD;18;8;383,9098;386,3791;397,3922;2,47;11,01
11;VRbio;1;2022-03-02_17-14-43;TP;19;1;401,4126;402,5102;404,3617;1,10;1,85
11;VRbio;1;2022-03-02_17-14-43;MWD;19;4;408,3818;409,5894;414,0876;1,21;4,50
11;VRbio;1;2022-03-02_17-14-43;TP;20;8;418,1009;419,3633;427,7628;1,26;8,40
11;VRbio;1;2022-03-02_17-14-43;MWD;20;1;431,7831;434,543;435,4439;2,76;0,90
