ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
1;VRslow;3;0;0,3333333;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,35094
1;VRslow;3;1;0,0716222;(18.3, 11.6, 32.5);(359.6, 277.0, 0.6);3,370897
1;VRslow;3;2;0,006453;(18.4, 11.4, 33.0);(359.1, 283.7, 1.1);3,376343
1;VRslow;3;3;0,0114491;(18.4, 11.2, 33.5);(358.6, 290.1, 1.6);3,387976
1;VRslow;3;4;0,0099225;(18.5, 11.1, 34.0);(358.0, 296.1, 1.9);3,397894
1;VRslow;3;5;0,0127109;(18.6, 11.0, 34.4);(357.5, 301.9, 2.2);3,41058
1;VRslow;3;6;0,0098497;(18.6, 10.8, 34.8);(357.0, 307.3, 2.4);3,42044
1;VRslow;3;7;0,0112934;(18.7, 10.7, 35.2);(356.5, 312.4, 2.6);3,431803
1;VRslow;3;8;0,0111189;(18.7, 10.6, 35.6);(355.9, 317.3, 2.7);3,442874
1;VRslow;3;9;0,0110554;(18.8, 10.5, 35.9);(355.5, 321.8, 2.8);3,454027
1;VRslow;3;10;0,0113908;(18.8, 10.4, 36.2);(355.0, 326.1, 2.8);3,4653
1;VRslow;3;11;0,0115359;(18.9, 10.3, 36.5);(354.6, 330.1, 2.8);3,476885
1;VRslow;3;12;0,010529;(18.9, 10.2, 36.8);(354.2, 333.9, 2.8);3,487389
1;VRslow;3;13;0,0108895;(18.9, 10.2, 37.0);(353.8, 337.5, 2.7);3,498264
1;VRslow;3;14;0,0115674;(19.0, 10.1, 37.2);(353.5, 340.8, 2.7);3,509804
1;VRslow;3;15;0,0119924;(19.0, 10.0, 37.4);(353.2, 344.0, 2.6);3,521823
1;VRslow;3;16;0,0106486;(19.0, 10.0, 37.6);(353.0, 346.9, 2.4);3,532772
1;VRslow;3;17;0,0113826;(19.0, 9.9, 37.8);(352.8, 349.7, 2.3);3,543916
1;VRslow;3;18;0,011587;(19.1, 9.8, 38.0);(352.6, 352.3, 2.2);3,555461
1;VRslow;3;19;0,010264;(19.1, 9.8, 38.1);(352.4, 354.8, 2.1);3,565694
1;VRslow;3;20;0,011386;(19.1, 9.7, 38.3);(352.2, 357.0, 2.0);3,577067
1;VRslow;3;21;0,0114145;(19.1, 9.7, 38.4);(352.0, 359.1, 1.9);3,58861
1;VRslow;3;22;0,0109808;(19.1, 9.7, 38.5);(351.9, 1.0, 1.8);3,599586
1;VRslow;3;23;0,0113756;(19.1, 9.6, 38.7);(351.7, 2.8, 1.7);3,610853
1;VRslow;3;24;0,0108111;(19.1, 9.6, 38.8);(351.6, 4.3, 1.6);3,621644
1;VRslow;3;25;0,0110433;(19.1, 9.6, 38.9);(351.5, 5.8, 1.5);3,632679
1;VRslow;3;26;0,0113086;(19.2, 9.5, 38.9);(351.4, 7.1, 1.4);3,644007
1;VRslow;3;27;0,01121;(19.2, 9.5, 39.0);(351.3, 8.2, 1.3);3,655212
1;VRslow;3;28;0,0110049;(19.2, 9.5, 39.1);(351.2, 9.3, 1.2);3,666189
1;VRslow;3;29;0,0119206;(19.2, 9.5, 39.2);(351.2, 10.3, 1.1);3,678102
1;VRslow;3;30;0,0105418;(19.2, 9.4, 39.2);(351.1, 11.2, 1.0);3,688655
1;VRslow;3;31;0,0109856;(19.2, 9.4, 39.3);(351.0, 12.0, 1.0);3,699626
1;VRslow;3;32;0,0120288;(19.2, 9.4, 39.4);(351.0, 12.8, 0.9);3,711692
1;VRslow;3;33;0,0106045;(19.2, 9.4, 39.4);(350.9, 13.6, 0.8);3,722291
1;VRslow;3;34;0,0112981;(19.2, 9.4, 39.5);(350.9, 14.3, 0.8);3,733585
1;VRslow;3;35;0,0108657;(19.2, 9.3, 39.5);(350.8, 15.0, 0.7);3,744422
1;VRslow;3;36;0,0116818;(19.2, 9.3, 39.5);(350.8, 15.7, 0.6);3,756134
1;VRslow;3;37;0,0110442;(19.2, 9.3, 39.6);(350.7, 16.3, 0.6);3,767172
1;VRslow;3;38;0,0108295;(19.2, 9.3, 39.6);(350.7, 16.8, 0.5);3,778039
1;VRslow;3;39;0,01116;(19.2, 9.3, 39.6);(350.7, 17.2, 0.5);3,789173
1;VRslow;3;40;0,0114247;(19.2, 9.3, 39.7);(350.7, 17.6, 0.5);3,800615
1;VRslow;3;41;0,0129048;(19.2, 9.3, 39.7);(350.6, 17.9, 0.4);3,813733
1;VRslow;3;42;0,0092549;(19.2, 9.3, 39.7);(350.6, 18.1, 0.4);3,822627
1;VRslow;3;43;0,011115;(19.2, 9.2, 39.7);(350.6, 18.3, 0.3);3,833853
1;VRslow;3;44;0,011261;(19.2, 9.2, 39.7);(350.6, 18.4, 0.3);3,845228
1;VRslow;3;45;0,0112946;(19.2, 9.2, 39.7);(350.6, 18.6, 0.3);3,856423
1;VRslow;3;46;0,0113124;(19.2, 9.2, 39.7);(350.6, 18.8, 0.3);3,867732
1;VRslow;3;47;0,011207;(19.2, 9.2, 39.7);(350.6, 19.0, 0.3);3,879021
1;VRslow;3;48;0,010857;(19.2, 9.2, 39.7);(350.7, 19.3, 0.4);3,889798
1;VRslow;3;49;0,0115121;(19.2, 9.2, 39.7);(350.8, 19.6, 0.6);3,901288
1;VRslow;3;50;0,0122291;(19.2, 9.2, 39.7);(351.0, 19.9, 0.8);3,913549
1;VRslow;3;51;0,0096894;(19.2, 9.2, 39.7);(351.3, 20.1, 1.0);3,923224
1;VRslow;3;52;0,0114291;(19.2, 9.2, 39.7);(351.6, 20.4, 1.2);3,934724
1;VRslow;3;53;0,0109125;(19.2, 9.2, 39.7);(352.0, 20.6, 1.5);3,94562
1;VRslow;3;54;0,0111797;(19.2, 9.2, 39.7);(352.6, 20.8, 1.7);3,956736
1;VRslow;3;55;0,0111398;(19.2, 9.2, 39.7);(353.2, 21.0, 1.8);3,967986
1;VRslow;3;56;0,0113932;(19.2, 9.2, 39.7);(353.9, 21.1, 2.0);3,979268
1;VRslow;3;57;0,0110945;(19.2, 9.3, 39.7);(354.6, 21.3, 2.0);3,990377
1;VRslow;3;58;0,0110239;(19.2, 9.3, 39.7);(355.3, 21.4, 2.1);4,00138
1;VRslow;3;59;0,0115309;(19.2, 9.3, 39.6);(356.0, 21.6, 2.0);4,012923
