ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
21;VRbio;3;2022-03-05_09-45-49;TP;1;4;6,402137;12,00552;16,41069;5,60;4,41
21;VRbio;3;2022-03-05_09-45-49;MWD;1;1;20,43165;21,82736;22,84455;1,40;1,02
21;VRbio;3;2022-03-05_09-45-49;TP;2;2;26,86507;29,71388;31,91557;2,85;2,20
21;VRbio;3;2022-03-05_09-45-49;MWD;2;2;35,93509;38,2808;40,70654;2,35;2,43
21;VRbio;3;2022-03-05_09-45-49;TP;3;1;44,7261;46,41235;48,01017;1,69;1,60
21;VRbio;3;2022-03-05_09-45-49;MWD;3;4;52,03088;54,06384;57,24701;2,03;3,18
21;VRbio;3;2022-03-05_09-45-49;TP;4;8;61,25835;61,96177;69,82478;0,70;7,86
21;VRbio;3;2022-03-05_09-45-49;MWD;4;8;73,84502;75,47605;79,63097;1,63;4,15
21;VRbio;3;2022-03-05_09-45-49;TP;5;8;83,65645;84,07729;91,14778;0,42;7,07
21;VRbio;3;2022-03-05_09-45-49;MWD;5;8;95,16843;97,12379;102,5739;1,96;5,45
21;VRbio;3;2022-03-05_09-45-49;TP;6;4;106,5949;107,3107;111,6781;0,72;4,37
21;VRbio;3;2022-03-05_09-45-49;MWD;6;4;115,6983;116,8491;120,0659;1,15;3,22
21;VRbio;3;2022-03-05_09-45-49;TP;7;2;124,0869;124,7465;127,226;0,66;2,48
21;VRbio;3;2022-03-05_09-45-49;MWD;7;2;131,2471;133,1563;135,5805;1,91;2,42
21;VRbio;3;2022-03-05_09-45-49;TP;8;1;139,602;141,1325;142,6974;1,53;1,56
21;VRbio;3;2022-03-05_09-45-49;MWD;8;1;146,7171;148,6495;150,5925;1,93;1,94
21;VRbio;3;2022-03-05_09-45-49;TP;9;4;154,6142;155,173;159,4402;0,56;4,27
21;VRbio;3;2022-03-05_09-45-49;MWD;9;1;163,4606;164,6897;166,2648;1,23;1,58
21;VRbio;3;2022-03-05_09-45-49;TP;10;8;170,2751;171,0898;179,5132;0,81;8,42
21;VRbio;3;2022-03-05_09-45-49;MWD;10;8;183,5302;184,773;190,5473;1,24;5,77
21;VRbio;3;2022-03-05_09-45-49;TP;11;2;194,5685;195,2148;197,2948;0,65;2,08
21;VRbio;3;2022-03-05_09-45-49;MWD;11;4;201,3149;202,4769;205,5231;1,16;3,05
21;VRbio;3;2022-03-05_09-45-49;TP;12;1;209,5358;210,3745;211,8148;0,84;1,44
21;VRbio;3;2022-03-05_09-45-49;MWD;12;2;215,8355;217,2446;219,7229;1,41;2,48
21;VRbio;3;2022-03-05_09-45-49;TP;13;1;223,7442;224,8738;226,9614;1,13;2,09
21;VRbio;3;2022-03-05_09-45-49;MWD;13;2;230,9814;232,7802;235,1155;1,80;2,34
21;VRbio;3;2022-03-05_09-45-49;TP;14;8;239,1457;240,0297;247,4913;0,88;7,46
21;VRbio;3;2022-03-05_09-45-49;MWD;14;4;251,5125;254,0587;257,9462;2,55;3,89
21;VRbio;3;2022-03-05_09-45-49;TP;15;2;261,9669;262,7939;264,9607;0,83;2,17
21;VRbio;3;2022-03-05_09-45-49;MWD;15;8;268,9827;271,5613;277,2246;2,58;5,66
21;VRbio;3;2022-03-05_09-45-49;TP;16;4;281,2463;281,8162;285,7925;0,57;3,98
21;VRbio;3;2022-03-05_09-45-49;MWD;16;1;289,8137;291,0647;293,0931;1,25;2,03
21;VRbio;3;2022-03-05_09-45-49;TP;17;4;297,1083;297,8781;301,9437;0,77;4,07
21;VRbio;3;2022-03-05_09-45-49;MWD;17;8;305,9642;307,9982;314,1639;2,03;6,17
21;VRbio;3;2022-03-05_09-45-49;TP;18;1;318,1844;319,6932;321,3128;1,51;1,62
21;VRbio;3;2022-03-05_09-45-49;MWD;18;4;325,3251;327,623;332,0916;2,30;4,47
21;VRbio;3;2022-03-05_09-45-49;TP;19;8;336,112;336,6454;345,1151;0,53;8,47
21;VRbio;3;2022-03-05_09-45-49;MWD;19;1;349,1363;349,6948;351,057;0,56;1,36
21;VRbio;3;2022-03-05_09-45-49;TP;20;2;355,0782;355,8604;358,1967;0,78;2,34
21;VRbio;3;2022-03-05_09-45-49;MWD;20;2;362,2156;366,8404;369,1636;4,62;2,32
