ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
8;VRslow;2;0;0,3333333;17,87312;13,41474;31,88;9,768656;270;8,663347E-07;3,379595
8;VRslow;2;1;0,0733597;17,89148;13,39684;31,89041;9,412005;269,1871;359,5467;3,401535
8;VRslow;2;2;0,0063632;17,9307;13,3709;31,87679;9,450309;268,1092;359,5385;3,407071
8;VRslow;2;3;0,0113663;17,96704;13,34669;31,86398;9,494237;267,1085;359,5343;3,418652
8;VRslow;2;4;0,0118628;18,00079;13,324;31,85185;9,548729;266,1841;359,539;3,43059
8;VRslow;2;5;0,0109019;18,03221;13,30278;31,84051;9,605932;265,3287;359,548;3,441377
8;VRslow;2;6;0,010574;18,06147;13,28287;31,82987;9,664812;264,5393;359,5626;3,451768
8;VRslow;2;7;0,0233864;18,08866;13,2642;31,82001;9,725867;263,8105;359,5844;3,475747
8;VRslow;2;8;0,010052;18,11399;13,24651;31,81091;9,79855;263,1685;359,6181;3,48536
8;VRslow;2;9;0,0112735;18,13756;13,22996;31,80264;9,874186;262,5861;359,6561;3,496704
8;VRslow;2;10;0,0111168;18,15941;13,21451;31,79505;9,947796;262,0597;359,6949;3,507744
8;VRslow;2;11;0,0112547;18,17969;13,2001;31,78819;10,01652;261,5891;359,7366;3,522607
8;VRslow;2;12;0,0111125;18,19855;13,18663;31,78205;10,08454;261,1732;359,7817;3,53018
8;VRslow;2;13;0,0126233;18,21606;13,17406;31,77661;10,15238;260,8104;359,8253;3,542989
8;VRslow;2;14;0,0094375;18,23231;13,16242;31,77185;10,21916;260,4926;359,8654;3,552459
8;VRslow;2;15;0,0119828;18,24741;13,1516;31,76774;10,28083;260,2124;359,9022;3,56416
8;VRslow;2;16;0,0218276;18,2614;13,14159;31,76419;10,33544;259,9657;359,9405;3,586283
8;VRslow;2;17;0,0109537;18,27437;13,13228;31,76151;10,37721;259,7758;359,9769;3,596919
8;VRslow;2;18;0,0111958;18,28651;13,12364;31,75936;10,42079;259,6148;0,009644069;3,608132
8;VRslow;2;19;0,0113347;18,29786;13,11542;31,75765;10,46713;259,478;0,04912006;3,619493
8;VRslow;2;20;0,0112488;18,30852;13,1075;31,75624;10,5167;259,3544;0,09806141;3,63072
8;VRslow;2;21;0,0110227;18,31848;13,09988;31,75505;10,57651;259,2414;0,152084;3,642119
8;VRslow;2;22;0,0111058;18,32783;13,09247;31,75403;10,64508;259,1413;0,2078857;3,652852
8;VRslow;2;23;0,0112249;18,33655;13,08517;31,75311;10,72415;259,0517;0,2572575;3,664057
8;VRslow;2;24;0,0114949;18,3447;13,07809;31,75222;10,81306;258,9722;0,2924007;3,675597
8;VRslow;2;25;0,0108007;18,35236;13,07131;31,75137;10,91482;258,8928;0,3220096;3,686349
8;VRslow;2;26;0,0118671;18,35954;13,06487;31,75059;11,0149;258,8145;0,3599602;3,698245
8;VRslow;2;27;0,0103998;18,36631;13,05883;31,74993;11,10527;258,7388;0,4078563;3,708643
8;VRslow;2;28;0,0108851;18,37264;13,05332;31,74927;11,17696;258,6688;0,4614958;3,719578
8;VRslow;2;29;0,0116293;18,37855;13,04825;31,74867;11,23067;258,6108;0,5191115;3,731115
8;VRslow;2;30;0,0115419;18,38405;13,04359;31,74814;11,26707;258,5703;0,5769401;3,742697
8;VRslow;2;31;0,010808;18,38917;13,03932;31,74772;11,29341;258,5503;0,6352018;3,753971
8;VRslow;2;32;0,0109186;18,39392;13,03543;31,74743;11,31189;258,5553;0,6941378;3,7644
8;VRslow;2;33;0,01137;18,39835;13,03188;31,74732;11,32401;258,5838;0,7558479;3,775747
8;VRslow;2;34;0,0113203;18,40243;13,02868;31,74743;11,3368;258,6345;0,8234026;3,787096
8;VRslow;2;35;0,0109145;18,40621;13,02578;31,7477;11,3466;258,7033;0,8906044;3,797997
8;VRslow;2;36;0,0114903;18,40968;13,02323;31,74819;11,35713;258,7849;0,9581678;3,809938
8;VRslow;2;37;0,0109301;18,41287;13,02099;31,74878;11,36578;258,8849;1,023835;3,82044
