ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
15;VRbio;4;0;0,3333333;17,90063;10,21246;34,15178;50,70198;289,1299;343,8307;3,312567
15;VRbio;4;1;0,0681519;19,0206;10,95811;34,33529;65,89563;217,0158;303,6161;3,329585
15;VRbio;4;2;0,006071;19,03186;10,97526;34,27704;65,81835;218,9699;303,0622;3,335065
15;VRbio;4;3;0,0087443;19,04217;10,9928;34,21891;65,79318;220,8574;302,5152;3,343873
15;VRbio;4;4;0,0107502;19,05118;11,01032;34,16219;65,74052;222,426;301,7556;3,354535
15;VRbio;4;5;0,0242432;19,06651;11,04205;34,04932;65,83589;225,606;300,73;3,378992
15;VRbio;4;6;0,0098327;19,07303;11,05709;33,99234;66,01161;227,2154;300,5347;3,388603
15;VRbio;4;7;0,0108906;19,07949;11,07201;33,93788;66,06486;228,4842;300,1868;3,399525
15;VRbio;4;8;0,0113952;19,07469;11,10219;33,8963;67,02476;227,8086;298,9663;3,411051
15;VRbio;4;9;0,010556;19,0677;11,13574;33,85844;68,01472;227,0062;298,2657;3,421506
15;VRbio;4;10;0,0113804;19,06529;11,16851;33,82591;68,37936;226,791;298,794;3,432896
15;VRbio;4;11;0,0113618;19,06931;11,19969;33,79422;68,24744;227,0746;299,6619;3,444219
15;VRbio;4;12;0,0117819;19,07837;11,232;33,7642;67,71183;227,4831;300,8608;3,456013
15;VRbio;4;13;0,0217932;19,09869;11,29686;33,69299;66,33377;229,7481;304,4117;3,478113
15;VRbio;4;14;0,010699;19,09213;11,35167;33,63316;66,52771;230,2094;305,3752;3,488481
15;VRbio;4;15;0,0118311;19,06864;11,41595;33,56025;66,60323;230,2392;306,7887;3,500336
15;VRbio;4;16;0,0113851;19,04737;11,4671;33,50085;65,33508;228,2437;306,59;3,511791
15;VRbio;4;17;0,0102899;19,03446;11,5074;33,4569;64,24901;225,3633;304,5373;3,522002
