ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
2;VRbio;6;61;0,0026706;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,9433
2;VRbio;6;62;0,0026399;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,945948
2;VRbio;6;63;0,0025068;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,948443
2;VRbio;6;64;0,0026503;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,951255
2;VRbio;6;65;0,0031672;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,954279
2;VRbio;6;66;0,0026822;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,956952
2;VRbio;6;67;0,0026293;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,959575
2;VRbio;6;68;0,0028595;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,962453
2;VRbio;6;69;0,0030203;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,96546
2;VRbio;6;70;0,0026175;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,968068
2;VRbio;6;71;0,0023838;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,970621
2;VRbio;6;72;0,0031966;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,973679
2;VRbio;6;73;0,0030138;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,976696
2;VRbio;6;74;0,0029093;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,979599
2;VRbio;6;75;0,0026201;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,982198
2;VRbio;6;76;0,0029048;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,985102
2;VRbio;6;77;0,0024648;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,987572
2;VRbio;6;78;0,0026259;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,990335
2;VRbio;6;79;0,0027213;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,992909
2;VRbio;6;80;0,0029713;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,995891
2;VRbio;6;81;0,002525;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,998408
2;VRbio;6;82;0,0028937;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,001303
2;VRbio;6;83;0,0025492;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,003848
2;VRbio;6;84;0,0024932;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,00635
2;VRbio;6;85;0,0026446;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,009129
2;VRbio;6;86;0,0026505;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,011649
2;VRbio;6;87;0,0026761;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,014318
2;VRbio;6;88;0,0061045;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,02351
2;VRbio;6;89;0,0060104;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,029157
2;VRbio;6;90;0,0057292;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,032306
2;VRbio;6;91;0,0027807;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,034939
2;VRbio;6;92;0,0025803;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,03754
2;VRbio;6;93;0,0026761;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,040196
2;VRbio;6;94;0,0029826;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,043188
2;VRbio;6;95;0,0026512;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,04584
2;VRbio;6;96;0,0026903;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,048581
2;VRbio;6;97;0,0052659;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,053969
2;VRbio;6;98;0,003148;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,056948
2;VRbio;6;99;0,0026406;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,059579
2;VRbio;6;100;0,0027031;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,062294
2;VRbio;6;101;0,0026431;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,064944
2;VRbio;6;102;0,0029682;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,067897
2;VRbio;6;103;0,0025684;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,07064
2;VRbio;6;104;0,0026937;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,073151
2;VRbio;6;105;0,0026555;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,075809
2;VRbio;6;106;0,002491;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,07833
2;VRbio;6;107;0,0029456;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,081272
2;VRbio;6;108;0,0027064;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,083955
2;VRbio;6;109;0,0028122;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,086759
2;VRbio;6;110;0,0024589;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,089365
2;VRbio;6;111;0,0027552;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,091976
2;VRbio;6;112;0,0024566;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,094439
2;VRbio;6;113;0,0028557;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,097332
2;VRbio;6;114;0,0027997;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,100092
2;VRbio;6;115;0,0029621;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,103049
2;VRbio;6;116;0,0024691;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,105525
2;VRbio;6;117;0,0025535;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,108076
2;VRbio;6;118;0,0027526;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,110972
2;VRbio;6;119;0,0028164;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,113651
2;VRbio;6;120;0,0025342;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,116176
2;VRbio;6;121;0,0025687;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,118747
2;VRbio;6;122;0,0025294;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,121273
2;VRbio;6;123;0,0024057;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,123675
2;VRbio;6;124;0,0024544;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,126134
2;VRbio;6;125;0,0032106;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,129504
2;VRbio;6;126;0,0027254;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,132072
2;VRbio;6;127;0,0029012;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,134979
2;VRbio;6;128;0,0025933;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,137561
2;VRbio;6;129;0,0025621;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,140142
2;VRbio;6;130;0,0026256;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,142754
2;VRbio;6;131;0,0026214;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,145392
2;VRbio;6;132;0,0026231;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,148007
2;VRbio;6;133;0,0029984;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,151181
2;VRbio;6;134;0,0027771;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,153771
2;VRbio;6;135;0,0029258;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,156702
2;VRbio;6;136;0,0024624;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,159166
2;VRbio;6;137;0,0026292;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,161799
2;VRbio;6;138;0,003036;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,164827
2;VRbio;6;139;0,0025599;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,167387
2;VRbio;6;140;0,0025819;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,170122
2;VRbio;6;141;0,0026029;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,172573
2;VRbio;6;142;0,0026072;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,175178
2;VRbio;6;143;0,0024327;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,177604
2;VRbio;6;144;0,003179;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,180797
2;VRbio;6;145;0,0025563;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,183345
2;VRbio;6;146;0,0033467;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,186707
