ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
18;VRslow;6;0;0,3333333;17,87312;13,41474;31,88;9,768656;270;8,663347E-07;3,438414
18;VRslow;6;1;0,0728431;18,03125;13,42404;31,88556;5,165828;270,5562;-0,003223067;3,460865
18;VRslow;6;2;0,0105885;18,22581;13,41879;31,90839;0,9597732;270,5415;359,4785;3,471185
18;VRslow;6;3;0,0050111;18,4063;13,41402;31,92991;357,0283;270,5446;358,9924;3,475631
18;VRslow;6;4;0,0097171;18,57396;13,40967;31,95006;353,3505;270,5687;358,5326;3,485503
18;VRslow;6;5;0,0110452;18,72964;13,40569;31,9689;349,9125;270,6065;358,0947;3,496554
18;VRslow;6;6;0,0109222;18,87423;13,40203;31,98657;346,7014;270,6549;357,6773;3,507775
18;VRslow;6;7;0,022218;19,0085;13,39874;32,00312;343,7043;270,7118;357,2805;3,529803
18;VRslow;6;8;0,0114776;19,13302;13,39577;32,01865;340,9116;270,7632;356,9006;3,54119
18;VRslow;6;9;0,0117189;19,24864;13,39313;32,0332;338,3074;270,8188;356,5353;3,552877
18;VRslow;6;10;0,0103514;19,35601;13,39077;32,04688;335,8792;270,8777;356,1841;3,563236
18;VRslow;6;11;0,011016;19,45563;13,3887;32,05968;333,6177;270,9387;355,8484;3,574316
18;VRslow;6;12;0,0113808;19,54799;13,38682;32,07177;331,5151;271,0013;355,5295;3,585622
18;VRslow;6;13;0,0113853;19,63366;13,38517;32,08318;329,5616;271,0652;355,227;3,59704
18;VRslow;6;14;0,0110574;19,71297;13,38378;32,09409;327,748;271,1317;354,9387;3,608136
18;VRslow;6;15;0,0109003;19,78646;13,38258;32,10446;326,0657;271,2016;354,6623;3,619001
18;VRslow;6;16;0,0109225;19,85452;13,38162;32,1143;324,5025;271,2767;354,3969;3,629906
18;VRslow;6;17;0,0108982;19,91751;13,38085;32,12367;323,0475;271,3577;354,1429;3,640908
18;VRslow;6;18;0,0113178;19,9757;13,3802;32,13274;321,6933;271,4451;353,8983;3,652092
18;VRslow;6;19;0,0110041;20,02926;13,37979;32,14142;320,4333;271,5407;353,6627;3,663088
18;VRslow;6;20;0,0120769;20,07862;13,37951;32,14971;319,2627;271,6443;353,4333;3,675214
18;VRslow;6;21;0,0103923;20,12394;13,3793;32,15773;318,1821;271,7582;353,2079;3,68557
18;VRslow;6;22;0,0110075;20,16542;13,37921;32,1654;317,19;271,8812;352,989;3,696586
18;VRslow;6;23;0,0112474;20,20332;13,37934;32,17276;316,2804;272,011;352,7759;3,707885
18;VRslow;6;24;0,0113225;20,23786;13,37961;32,17984;315,449;272,1462;352,5677;3,719132
18;VRslow;6;25;0,0110626;20,26921;13,38003;32,18661;314,6896;272,2883;352,3616;3,730173
18;VRslow;6;26;0,0109478;20,29754;13,38069;32,19305;314,0015;272,4382;352,1573;3,74115
18;VRslow;6;27;0,0114735;20,32303;13,38148;32,19926;313,3819;272,5957;351,9548;3,75263
18;VRslow;6;28;0,0111327;20,34575;13,38246;32,20514;312,83;272,7607;351,7587;3,764176
18;VRslow;6;29;0,0116343;20,36593;13,38361;32,21068;312,3423;272,9284;351,5723;3,775417
18;VRslow;6;30;0,0105467;20,38358;13,38487;32,21595;311,9181;273,1;351,396;3,785928
18;VRslow;6;31;0,0111358;20,39869;13,38627;32,22077;311,5568;273,2708;351,2358;3,797061
18;VRslow;6;32;0,0111442;20,41158;13,3878;32,22515;311,2567;273,4393;351,0906;3,808256
18;VRslow;6;33;0,0115128;20,42221;13,38944;32,22919;311,0183;273,6052;350,963;3,81975
18;VRslow;6;34;0,0107907;20,43069;13,39119;32,23285;310,8375;273,7644;350,8577;3,830808
18;VRslow;6;35;0,0118044;20,4371;13,39301;32,23612;310,7151;273,9133;350,7789;3,842401
18;VRslow;6;36;0,0103778;20,44142;13,39482;32,23909;310,6505;274,0465;350,7292;3,852696
18;VRslow;6;37;0,011835;20,44381;13,39667;32,24168;310,6366;274,1639;350,7035;3,864535
18;VRslow;6;38;0,0108484;20,44438;13,39855;32,24382;310,6738;274,2632;350,7004;3,875722
18;VRslow;6;39;0,0109314;20,44327;13,40046;32,24557;310,7588;274,3448;350,714;3,886328
18;VRslow;6;40;0,0112081;20,44043;13,40229;32,2469;310,8917;274,4071;350,7432;3,897534
18;VRslow;6;41;0,0121441;20,43603;13,40408;32,24787;311,0718;274,4491;350,7852;3,909656
18;VRslow;6;42;0,0103462;20,43017;13,40583;32,2485;311,2972;274,4721;350,8393;3,920027
18;VRslow;6;43;0,0118787;20,4228;13,4075;32,24876;311,57;274,4731;350,9073;3,931881
18;VRslow;6;44;0,01042;20,41408;13,409;32,24872;311,8871;274,4499;350,9927;3,942314
18;VRslow;6;45;0,0109622;20,40416;13,41039;32,24827;312,2455;274,4017;351,0973;3,953254
18;VRslow;6;46;0,0127885;20,39316;13,4115;32,24747;312,6432;274,3257;351,2252;3,966076
18;VRslow;6;47;0,0099094;20,38109;13,41239;32,24637;313,0775;274,2212;351,377;3,975969
18;VRslow;6;48;0,0108431;20,36804;13,41305;32,24502;313,5457;274,0963;351,545;3,986796
18;VRslow;6;49;0,0115706;20,35416;13,41344;32,24336;314,0455;273,9508;351,7313;3,998444
18;VRslow;6;50;0,0123266;20,33955;13,41364;32,24137;314,5758;273,789;351,9342;4,010704
18;VRslow;6;51;0,0096423;20,32429;13,41361;32,23916;315,1365;273,6121;352,1566;4,020339
