ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
17;VRbio;1;0;0,3333333;14,67932;9,996302;34,94017;359,1887;278,0517;359,8148;3,3529
17;VRbio;1;1;0,0491672;16,07645;11,06699;32,07089;45,08328;245,2945;328,8823;3,367556
17;VRbio;1;2;0,0073048;16,06754;11,06378;32,02225;44,28007;247,383;330,4181;3,374199
17;VRbio;1;3;0,008649;16,05948;11,05767;31,97502;43,28239;249,5277;331,9489;3,382977
17;VRbio;1;4;0,0116918;16,0542;11,05006;31,93;42,05343;251,4573;333,3723;3,394678
17;VRbio;1;5;0,0105902;16,04922;11,04506;31,88853;40,9342;252,8444;334,4433;3,405232
17;VRbio;1;6;0,0224107;16,05567;11,03072;31,82032;38,50949;254,6452;336,3272;3,427793
17;VRbio;1;7;0,0106677;16,06245;11,01435;31,79014;37,24541;255,4458;337,4401;3,43835
17;VRbio;1;8;0,0112968;16,06789;10,99237;31,75783;35,91677;256,26;338,3839;3,450096
17;VRbio;1;9;0,0122178;16,07336;10,96605;31,72214;34,70066;257,252;339,8984;3,461832
17;VRbio;1;10;0,0103706;16,07699;10,93948;31,68759;33,78487;258,246;341,3322;3,472208
17;VRbio;1;11;0,0110976;16,07938;10,90887;31,65593;33,09798;258,9429;342,59;3,483327
17;VRbio;1;12;0,0113463;16,08062;10,87571;31,62574;32,42666;259,4818;343,6946;3,494691
17;VRbio;1;13;0,0114974;16,08204;10,84023;31,59638;31,65048;260,0279;344,7377;3,506148
17;VRbio;1;14;0,0108273;16,08323;10,79806;31,57013;30,94193;260,3495;345,6894;3,517272
17;VRbio;1;15;0,0221932;16,08165;10,70633;31,52437;29,66767;260,6609;347,8411;3,539269
17;VRbio;1;16;0,0110465;16,07782;10,65641;31,50653;29,54693;260,5176;348,7331;3,55028
17;VRbio;1;17;0,011032;16,07269;10,60538;31,48551;29,30947;260,7381;349,9474;3,561233
17;VRbio;1;18;0,0113233;16,06435;10,54533;31,46399;28,9474;261,0547;351,1901;3,572609
17;VRbio;1;19;0,0113466;16,05493;10,48311;31,43947;28,53449;261,5106;352,4775;3,584224
17;VRbio;1;20;0,0112224;16,04164;10,41328;31,41285;28,23017;261,9693;353,8756;3,595143
