ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
8;VRslow;5;0;0,3333333;17,87312;13,41474;31,88;9,768656;270;8,663347E-07;3,353501
8;VRslow;5;1;0,0684297;17,8967;13,29856;31,88;9,085512;270;1,296932E-06;3,375557
8;VRslow;5;2;0,0076054;17,91863;13,19051;31,88;8,450061;270;4,315717E-07;3,382272
8;VRslow;5;3;0,0105395;17,93902;13,09002;31,88;7,858984;270;4,309343E-07;3,392844
8;VRslow;5;4;0,0109691;17,95799;12,99657;31,88;7,309201;270;4,303841E-07;3,403763
8;VRslow;5;5;0,0111874;17,97563;12,90966;31,88;6,797833;270;6,448636E-07;3,414932
8;VRslow;5;6;0,0114993;17,99203;12,82883;31,88;6,322208;270;6,442483E-07;3,426568
8;VRslow;5;7;0,0119706;18,00729;12,75366;31,88;5,879833;270;4,291446E-07;3,4385
8;VRslow;5;8;0,0213068;18,02148;12,68375;31,88;5,468389;270;4,288385E-07;3,45999
8;VRslow;5;9;0,0112333;18,03467;12,61874;31,88;5,085718;270;4,28574E-07;3,470984
8;VRslow;5;10;0,0109679;18,04694;12,55828;31,88;4,729812;270;2,141727E-07;3,481946
8;VRslow;5;11;0,0111053;18,05836;12,50205;31,88;4,3988;270;2,14074E-07;3,49304
8;VRslow;5;12;0,0111928;18,06897;12,44975;31,88;4,090943;270;2,139887E-07;3,504194
8;VRslow;5;13;0,0114244;18,07884;12,40112;31,88;3,804627;270;4,278297E-07;3,515694
8;VRslow;5;14;0,0109758;18,08802;12,35589;31,88;3,538343;270;3,207766E-07;3,526611
8;VRslow;5;15;0,0118556;18,09656;12,31383;31,88;3,29069;270;2,137959E-07;3,538513
8;VRslow;5;16;0,0121881;18,10449;12,27471;31,88;3,060367;270;3,206224E-07;3,55069
8;VRslow;5;17;0,009796;18,11188;12,23833;31,88;2,846162;270;3,205605E-07;3,560443
8;VRslow;5;18;0,0111472;18,11874;12,2045;31,88;2,646947;270;3,205071E-07;3,571648
8;VRslow;5;19;0,0120993;18,12513;12,17303;31,88;2,461674;270;2,136406E-07;3,583715
8;VRslow;5;20;0,0106261;18,13107;12,14377;31,88;2,289367;270;3,204209E-07;3,594309
8;VRslow;5;21;0,0215692;18,13659;12,11655;31,88;2,12912;270;2,135908E-07;3,616348
