ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
9;VRbio;3;2022-03-02_11-15-50;TP;1;2;6,39852;9,041093;11,40327;2,64;2,36
9;VRbio;3;2022-03-02_11-15-50;MWD;1;8;15,42264;16,93229;20,63915;1,51;3,71
9;VRbio;3;2022-03-02_11-15-50;TP;2;4;24,66022;25,21997;29,62049;0,56;4,40
9;VRbio;3;2022-03-02_11-15-50;MWD;2;4;33,64054;34,59;37,63938;0,95;3,05
9;VRbio;3;2022-03-02_11-15-50;TP;3;1;41,66064;42,18784;43,30297;0,53;1,12
9;VRbio;3;2022-03-02_11-15-50;MWD;3;2;47,32341;48,04982;49,60217;0,73;1,55
9;VRbio;3;2022-03-02_11-15-50;TP;4;8;53,61317;54,1151;62,7385;0,50;8,62
9;VRbio;3;2022-03-02_11-15-50;MWD;4;1;66,75876;67,43969;69,11623;0,68;1,68
9;VRbio;3;2022-03-02_11-15-50;TP;5;2;73,13729;73,7187;76,132;0,58;2,41
9;VRbio;3;2022-03-02_11-15-50;MWD;5;1;80,1517;80,6993;82,20689;0,55;1,51
9;VRbio;3;2022-03-02_11-15-50;TP;6;4;86,22808;86,73235;90,78611;0,50;4,05
9;VRbio;3;2022-03-02_11-15-50;MWD;6;4;94,80619;95,28688;98,67174;0,48;3,38
9;VRbio;3;2022-03-02_11-15-50;TP;7;8;102,6925;103,1395;112,1651;0,45;9,03
9;VRbio;3;2022-03-02_11-15-50;MWD;7;2;116,1861;116,8005;119,2345;0,61;2,43
9;VRbio;3;2022-03-02_11-15-50;TP;8;1;123,2559;123,7365;124,9661;0,48;1,23
9;VRbio;3;2022-03-02_11-15-50;MWD;8;8;128,9857;129,5559;135,1516;0,57;5,60
9;VRbio;3;2022-03-02_11-15-50;TP;9;8;139,173;139,6214;148,5669;0,45;8,95
9;VRbio;3;2022-03-02_11-15-50;MWD;9;4;152,5878;153,8386;155,839;1,25;2,00
9;VRbio;3;2022-03-02_11-15-50;TP;10;2;159,8594;160,3064;162,8876;0,45;2,58
9;VRbio;3;2022-03-02_11-15-50;MWD;10;2;166,9086;167,5668;169,4877;0,66;1,92
9;VRbio;3;2022-03-02_11-15-50;TP;11;4;173,5092;174,0231;179,0161;0,51;4,99
9;VRbio;3;2022-03-02_11-15-50;MWD;11;1;183,0368;184,5558;186,1532;1,52;1,60
9;VRbio;3;2022-03-02_11-15-50;TP;12;1;190,1712;190,7215;192,8556;0,55;2,13
9;VRbio;3;2022-03-02_11-15-50;MWD;12;8;196,8755;197,4345;203,69;0,56;6,26
9;VRbio;3;2022-03-02_11-15-50;TP;13;4;207,7108;208,8841;212,8047;1,17;3,92
9;VRbio;3;2022-03-02_11-15-50;MWD;13;2;216,8249;217,8986;219,7071;1,07;1,81
9;VRbio;3;2022-03-02_11-15-50;TP;14;8;223,7281;224,3547;231,3239;0,63;6,97
9;VRbio;3;2022-03-02_11-15-50;MWD;14;1;235,3449;236,685;238,6371;1,34;1,95
9;VRbio;3;2022-03-02_11-15-50;TP;15;2;242,6499;243,2543;245,5545;0,60;2,30
9;VRbio;3;2022-03-02_11-15-50;MWD;15;4;249,5748;250,402;253,875;0,83;3,47
9;VRbio;3;2022-03-02_11-15-50;TP;16;1;257,8969;258,8691;260,489;0,97;1,62
9;VRbio;3;2022-03-02_11-15-50;MWD;16;8;264,5089;265,3354;269,3343;0,83;4,00
9;VRbio;3;2022-03-02_11-15-50;TP;17;1;273,3556;274,0151;275,9365;0,66;1,92
9;VRbio;3;2022-03-02_11-15-50;MWD;17;8;279,9564;281,2192;284,7487;1,26;3,53
9;VRbio;3;2022-03-02_11-15-50;TP;18;8;288,7699;289,34;299,1248;0,57;9,78
9;VRbio;3;2022-03-02_11-15-50;MWD;18;1;303,1451;303,938;306,0498;0,79;2,11
9;VRbio;3;2022-03-02_11-15-50;TP;19;4;310,0707;310,6075;315,3057;0,54;4,70
9;VRbio;3;2022-03-02_11-15-50;MWD;19;2;319,319;319,8664;322,3918;0,55;2,53
9;VRbio;3;2022-03-02_11-15-50;TP;20;2;326,424;326,9494;329,7857;0,53;2,84
9;VRbio;3;2022-03-02_11-15-50;MWD;20;4;333,8063;336,2998;339,4502;2,49;3,15
