ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
16;VRbio;2;2022-03-03_15-21-09;MWD;1;1;6,478197;14,59243;15,70494;8,11;1,11
16;VRbio;2;2022-03-03_15-21-09;TP;1;1;19,72508;20,45152;21,66952;0,73;1,22
16;VRbio;2;2022-03-03_15-21-09;MWD;2;2;25,69031;26,95232;29,08576;1,26;2,13
16;VRbio;2;2022-03-03_15-21-09;TP;2;8;33,10669;33,61798;41,31676;0,51;7,70
16;VRbio;2;2022-03-03_15-21-09;MWD;3;8;45,3478;46,65645;54,07199;1,31;7,42
16;VRbio;2;2022-03-03_15-21-09;TP;3;2;58,09325;58,6188;60,60721;0,53;1,99
16;VRbio;2;2022-03-03_15-21-09;MWD;4;4;64,62697;65,30621;69,286;0,68;3,98
16;VRbio;2;2022-03-03_15-21-09;TP;4;4;73,30622;76,13351;80,94905;2,83;4,82
16;VRbio;2;2022-03-03_15-21-09;MWD;5;2;84,96768;85,44935;87,67188;0,48;2,22
16;VRbio;2;2022-03-03_15-21-09;TP;5;1;91,69226;92,15064;93,33467;0,46;1,18
16;VRbio;2;2022-03-03_15-21-09;MWD;6;1;97,35454;98,00031;99,19852;0,65;1,20
16;VRbio;2;2022-03-03_15-21-09;TP;6;4;103,2196;104,538;108,8159;1,32;4,28
16;VRbio;2;2022-03-03_15-21-09;MWD;7;4;112,8372;115,4379;119,9738;2,60;4,54
16;VRbio;2;2022-03-03_15-21-09;TP;7;8;123,9953;124,4387;133,1215;0,44;8,68
16;VRbio;2;2022-03-03_15-21-09;MWD;8;8;137,1417;137,6559;146,2901;0,51;8,63
16;VRbio;2;2022-03-03_15-21-09;TP;8;2;150,3115;150,9708;153,2721;0,66;2,30
16;VRbio;2;2022-03-03_15-21-09;MWD;9;2;157,292;158,3883;160,7997;1,10;2,41
16;VRbio;2;2022-03-03_15-21-09;TP;9;1;164,8202;165,4912;166,788;0,67;1,30
16;VRbio;2;2022-03-03_15-21-09;MWD;10;8;170,8078;171,8577;180,1907;1,05;8,33
16;VRbio;2;2022-03-03_15-21-09;TP;10;4;184,2116;184,8039;188,9375;0,59;4,13
16;VRbio;2;2022-03-03_15-21-09;MWD;11;1;192,9573;193,7692;194,9234;0,81;1,15
16;VRbio;2;2022-03-03_15-21-09;TP;11;8;198,945;199,5031;207,3561;0,56;7,85
16;VRbio;2;2022-03-03_15-21-09;MWD;12;4;211,376;211,7343;215,8213;0,36;4,09
16;VRbio;2;2022-03-03_15-21-09;TP;12;2;219,832;220,6365;222,8376;0,80;2,20
16;VRbio;2;2022-03-03_15-21-09;MWD;13;1;226,8591;228,3216;230,4555;1,46;2,13
16;VRbio;2;2022-03-03_15-21-09;TP;13;8;234,49;235,0904;242,9207;0,60;7,83
16;VRbio;2;2022-03-03_15-21-09;MWD;14;4;246,9408;247,664;251,8561;0,72;4,19
16;VRbio;2;2022-03-03_15-21-09;TP;14;4;255,8768;256,5366;260,6025;0,66;4,07
16;VRbio;2;2022-03-03_15-21-09;MWD;15;8;264,6227;265,1584;273,4024;0,54;8,24
16;VRbio;2;2022-03-03_15-21-09;TP;15;2;277,424;277,949;279,8697;0,52;1,92
16;VRbio;2;2022-03-03_15-21-09;MWD;16;2;283,8908;284,4394;286,6725;0,55;2,23
16;VRbio;2;2022-03-03_15-21-09;TP;16;1;290,6935;291,2857;292,3913;0,59;1,11
16;VRbio;2;2022-03-03_15-21-09;MWD;17;4;296,4124;297,6072;301,9185;1,19;4,31
16;VRbio;2;2022-03-03_15-21-09;TP;17;2;305,9399;306,3547;308,466;0,41;2,11
16;VRbio;2;2022-03-03_15-21-09;MWD;18;2;312,4961;312,8546;314,2723;0,36;1,42
16;VRbio;2;2022-03-03_15-21-09;TP;18;1;318,2936;318,873;320,0365;0,58;1,16
16;VRbio;2;2022-03-03_15-21-09;MWD;19;8;324,0565;324,5826;332,7883;0,53;8,21
16;VRbio;2;2022-03-03_15-21-09;TP;19;4;336,8031;337,3389;341,3379;0,54;4,00
16;VRbio;2;2022-03-03_15-21-09;MWD;20;1;345,3579;347,1229;349,5363;1,76;2,41
16;VRbio;2;2022-03-03_15-21-09;TP;20;8;353,5584;354,1336;362,9171;0,58;8,78
