ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
8;VRbio;6;0;0,3333333;18,4499;13,05326;32,13412;0,06011827;261,71;356,3821;3,377601
8;VRbio;6;1;0,0711325;18,32019;13,06716;32,17318;1,275618;260,4437;356,0562;3,398198
8;VRbio;6;2;0,0102916;18,31905;13,0661;32,17321;1,328806;260,1405;356,1483;3,407852
8;VRbio;6;3;0,0042482;18,31981;13,06623;32,17282;1,34544;259,96;356,1833;3,411836
8;VRbio;6;4;0,0083093;18,31956;13,06683;32,17214;1,374827;259,7818;356,2131;3,4203
8;VRbio;6;5;0,0234597;18,32046;13,06785;32,16862;1,42096;259,3747;356,2982;3,443927
8;VRbio;6;6;0,0103172;18,32006;13,06815;32,16698;1,43988;259,1409;356,3376;3,454263
8;VRbio;6;7;0,0116093;18,32006;13,06877;32,16463;1,434092;258,9188;356,3937;3,465776
8;VRbio;6;8;0,0109467;18,31804;13,06931;32,16214;1,437077;258,6678;356,4315;3,476653
8;VRbio;6;9;0,010998;18,31674;13,0696;32,1595;1,41177;258,4188;356,4767;3,487812
8;VRbio;6;10;0,0106511;18,31532;13,07026;32,15671;1,403133;258,1665;356,5167;3,498273
8;VRbio;6;11;0,0114492;18,31331;13,07091;32,15368;1,41055;257,8959;356,5317;3,509725
8;VRbio;6;12;0,0114197;18,31034;13,07164;32,15209;1,432992;257,6284;356,539;3,521142
8;VRbio;6;13;0,0106542;18,30508;13,07146;32,14661;1,454562;257,1047;356,562;3,531781
8;VRbio;6;14;0,0122463;18,30078;13,0713;32,1418;1,515069;256,8002;356,5304;3,54404
8;VRbio;6;15;0,0104458;18,29807;13,07022;32,13622;1,575286;256,4777;356,5067;3,554543
8;VRbio;6;16;0,0222451;18,29136;13,06751;32,12482;1,819918;255,8188;356,3808;3,57689
8;VRbio;6;17;0,0116349;18,28809;13,06523;32,11925;1,92897;255,4654;356,3759;3,588418
8;VRbio;6;18;0,0108325;18,28448;13,06218;32,11359;2,092116;255,042;356,4404;3,599239
8;VRbio;6;19;0,0109045;18,28208;13,05858;32,10813;2,22175;254,6169;356,5634;3,610162
8;VRbio;6;20;0,0113293;18,27903;13,05486;32,10267;2,4092;254,1579;356,7185;3,621433
8;VRbio;6;21;0,0109904;18,27589;13,05083;32,09724;2,605433;253,6908;356,7951;3,632422
8;VRbio;6;22;0,0111609;18,27327;13,0469;32,09055;2,814118;253,2141;356,842;3,643609
8;VRbio;6;23;0,0113024;18,27136;13,0435;32,08346;3,023614;252,7482;356,8395;3,654866
8;VRbio;6;24;0,011407;18,26956;13,03929;32,07756;3,23287;252,2711;356,8231;3,666378
8;VRbio;6;25;0,0107265;18,26835;13,03585;32,07092;3,443652;251,7615;356,7977;3,677026
8;VRbio;6;26;0,0114433;18,26793;13,03271;32,06322;3,639821;251,2093;356,7675;3,688457
8;VRbio;6;27;0,0108771;18,26826;13,03024;32,05537;3,834022;250,6555;356,7903;3,699359
8;VRbio;6;28;0,0115158;18,26814;13,02724;32,0485;4,025852;250,0703;356,8009;3,710863
8;VRbio;6;29;0,0110028;18,26882;13,02394;32,04175;4,194618;249,4662;356,806;3,721839
8;VRbio;6;30;0,0110859;18,27048;13,02217;32,03409;4,358756;248,8265;356,8134;3,732962
8;VRbio;6;31;0,0110966;18,27058;13,01986;32,02578;4,475874;248,1857;356,8302;3,744025
8;VRbio;6;32;0,0112188;18,2717;13,01768;32,01889;4,568246;247,5328;356,8499;3,755275
8;VRbio;6;33;0,0110617;18,27262;13,01557;32,01196;4,667653;246,834;356,8737;3,766294
8;VRbio;6;34;0,0122508;18,27413;13,01396;32,00455;4,7527;246,1321;356,9069;3,778565
8;VRbio;6;35;0,0100536;18,27624;13,01233;31,99684;4,843898;245,4492;356,9243;3,788597
8;VRbio;6;36;0,0113834;18,27866;13,01048;31,98931;4,93544;244,7625;356,9468;3,800013
8;VRbio;6;37;0,0110607;18,28048;13,00901;31,98358;5,047108;244,0836;356,9538;3,811049
8;VRbio;6;38;0,0111342;18,28323;13,0062;31,97722;5,162161;243,3976;356,9722;3,822191
8;VRbio;6;39;0,0118022;18,28706;13,00444;31,96943;5,301526;242,7192;357,0225;3,833994
8;VRbio;6;40;0,0106924;18,29024;13,00151;31,96286;5,423508;242,0477;357,078;3,844694
8;VRbio;6;41;0,011545;18,29346;12,99957;31,95626;5,547454;241,3656;357,101;3,856271
8;VRbio;6;42;0,0114946;18,29462;13,00014;31,95667;5,517461;241,3619;357,1155;3,867727
8;VRbio;6;43;0,0107529;18,29785;12,9981;31,95106;5,599347;240,6971;357,1588;3,878655
8;VRbio;6;44;0,0107945;18,30088;12,996;31,94543;5,691869;240,0705;357,2024;3,889286
8;VRbio;6;45;0,0111986;18,30394;12,99363;31,94029;5,793978;239,4641;357,2578;3,90051
8;VRbio;6;46;0,011858;18,30604;12,99174;31,93553;5,900982;238,8828;357,2864;3,912343
8;VRbio;6;47;0,0102481;18,30911;12,98954;31,93106;6,003263;238,3281;357,3228;3,922624
8;VRbio;6;48;0,0114651;18,31208;12,98742;31,92677;6,124973;237,8034;357,3606;3,934069
8;VRbio;6;49;0,0109251;18,31459;12,98479;31,92268;6,266241;237,3159;357,3826;3,945217
8;VRbio;6;50;0,0111442;18,31745;12,98272;31,919;6,378391;236,8332;357,3951;3,9561
8;VRbio;6;51;0,0112589;18,32064;12,98145;31,91477;6,493307;236,3855;357,376;3,967473
8;VRbio;6;52;0,0112629;18,32271;12,97948;31,91127;6,589376;235,9709;357,3172;3,978657
8;VRbio;6;53;0,011188;18,32513;12,97766;31,90871;6,668369;235,5681;357,2551;3,989845
8;VRbio;6;54;0,0112606;18,32712;12,97538;31,90734;6,768968;235,1907;357,1772;4,001087
8;VRbio;6;55;0,0110607;18,3287;12,97405;31,90533;6,863948;234,8551;357,1032;4,012147
8;VRbio;6;56;0,0110962;18,33142;12,97229;31,90317;6,971797;234,5429;356,9911;4,023245
8;VRbio;6;57;0,0111027;18,33409;12,97025;31,90108;7,073755;234,2635;356,8582;4,034362
8;VRbio;6;58;0,0123449;18,33655;12,9678;31,89787;7,192179;233,9871;356,7649;4,046702
8;VRbio;6;59;0,0101809;18,33899;12,96547;31,89606;7,326784;233,7762;356,6569;4,056885
8;VRbio;6;60;0,0107398;18,34188;12,96372;31,89336;7,461025;233,6098;356,5601;4,067616
8;VRbio;6;61;0,0125757;18,34499;12,96159;31,89091;7,564439;233,4707;356,4523;4,080171
8;VRbio;6;62;0,0126312;18,3472;12,95962;31,88857;7,655698;233,3687;356,3537;4,092829
8;VRbio;6;63;0,0126984;18,34953;12,95941;31,88358;7,743119;233,299;356,2771;4,105546
8;VRbio;6;64;0,0113082;18,35065;12,95903;31,88088;7,817356;233,2597;356,2185;4,116841
8;VRbio;6;65;0,0118951;18,35269;12,95822;31,87735;7,867908;233,2336;356,1744;4,128908
8;VRbio;6;66;0,0104237;18,35343;12,95672;31,87321;7,926288;233,2269;356,1786;4,139003
8;VRbio;6;67;0,0112978;18,35489;12,95474;31,86971;8,002214;233,2486;356,215;4,150475
8;VRbio;6;68;0,0110734;18,35632;12,95242;31,86647;8,078206;233,2868;356,2854;4,161505
8;VRbio;6;69;0,0112109;18,35741;12,94987;31,86289;8,169731;233,3681;356,381;4,172735
8;VRbio;6;70;0,0110835;18,35952;12,94607;31,85896;8,272893;233,4481;356,4848;4,183843
8;VRbio;6;71;0,0114151;18,3609;12,94348;31,85612;8,373799;233,5918;356,5995;4,19539
8;VRbio;6;72;0,0120499;18,36108;12,94085;31,8527;8,486897;233,7306;356,7086;4,207272
8;VRbio;6;73;0,0101995;18,36166;12,93836;31,85059;8,589632;233,9167;356,8162;4,217494
8;VRbio;6;74;0,0113048;18,36239;12,93595;31,84903;8,682263;234,1478;356,8947;4,228836
8;VRbio;6;75;0,0110796;18,36263;12,93159;31,84473;8,87557;234,5704;357,0422;4,239882
8;VRbio;6;76;0,0111276;18,36252;12,92931;31,84494;8,955642;234,9152;357,1086;4,250988
8;VRbio;6;77;0,0116686;18,36142;12,92698;31,84667;9,067173;235,2975;357,168;4,262656
8;VRbio;6;78;0,0117342;18,36022;12,92523;31,84955;9,161633;235,813;357,2311;4,274419
8;VRbio;6;79;0,0104873;18,35882;12,92251;31,85302;9,258296;236,4224;357,254;4,284886
8;VRbio;6;80;0,0112101;18,35507;12,92087;31,86016;9,348004;237,2084;357,275;4,296094
