ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
18;VRbio;4;0;0,3333333;19,30648;13,10748;33,10479;348,482;301,5651;1,23975;3,421695
18;VRbio;4;1;0,0785142;19,29456;12,96229;32,67868;359,3925;270,8244;2,152362;3,448927
18;VRbio;4;2;0,0088876;19,30093;12,93891;32,67843;0,606103;270,9099;2,745163;3,45696
18;VRbio;4;3;0,0096748;19,30544;12,92284;32,68167;1,437038;271,5116;3,292299;3,466655
18;VRbio;4;4;0,0115783;19,30477;12,91986;32,68218;1,564915;271,7606;3,498771;3,47825
18;VRbio;4;5;0,0112329;19,30443;12,92252;32,68287;1,281222;272,0486;3,571216;3,489458
18;VRbio;4;6;0,010929;19,30469;12,9264;32,6822;0,9043976;272,2878;3,591253;3,500377
18;VRbio;4;7;0,0221082;19,30233;12,93614;32,68233;359,9876;272,7626;3,434336;3,522644
18;VRbio;4;8;0,0116184;19,30346;12,93904;32,68191;359,7505;272,9998;3,406425;3,534247
18;VRbio;4;9;0,0104548;19,3038;12,94055;32,68171;359,579;273,2424;3,374143;3,544577
18;VRbio;4;10;0,0125554;19,3045;12,94223;32,68261;359,4922;273,4822;3,343165;3,557087
18;VRbio;4;11;0,0099418;19,30638;12,94225;32,68315;359,4734;273,7317;3,311026;3,567039
18;VRbio;4;12;0,011343;19,30758;12,94171;32,68319;359,464;273,9633;3,296631;3,578412
18;VRbio;4;13;0,022758;19,31163;12,9414;32,68402;359,4768;274,5145;3,193232;3,601331
18;VRbio;4;14;0,0100744;19,31357;12,94132;32,68423;359,4818;274,7969;3,106724;3,611213
18;VRbio;4;15;0,0112987;19,31511;12,94145;32,68439;359,4938;275,0934;3,026556;3,622576
18;VRbio;4;16;0,0115475;19,31693;12,94145;32,68406;359,5146;275,3835;2,950493;3,634049
18;VRbio;4;17;0,010872;19,31819;12,94124;32,68353;359,5308;275,6734;2,875036;3,644998
18;VRbio;4;18;0,0117075;19,31849;12,94164;32,68356;359,567;275,9413;2,809629;3,656635
18;VRbio;4;19;0,0109745;19,31942;12,94196;32,68226;359,5869;276,2014;2,753777;3,667621
18;VRbio;4;20;0,0123501;19,31986;12,94226;32,6808;359,5786;276,4257;2,687743;3,679954
18;VRbio;4;21;0,0098786;19,31929;12,94322;32,67923;359,5821;276,6132;2,62134;3,689841
18;VRbio;4;22;0,0115782;19,31844;12,9434;32,6773;359,5729;276,7966;2,560214;3,701429
18;VRbio;4;23;0,011543;19,31671;12,94407;32,67385;359,5709;276,9095;2,496714;3,712964
18;VRbio;4;24;0,0214116;19,31452;12,94529;32,66296;359,6285;277,0245;2,385165;3,7345
18;VRbio;4;25;0,0107587;19,31293;12,94538;32,65768;359,6918;276,9913;2,314667;3,745107
18;VRbio;4;26;0,0115598;19,31107;12,94435;32,65121;359,7887;276,936;2,262417;3,756657
18;VRbio;4;27;0,0111779;19,30784;12,94307;32,64557;359,9259;276,8151;2,189329;3,767861
18;VRbio;4;28;0,0110218;19,30477;12,94209;32,63856;0,1217872;276,6779;2,120538;3,778867
18;VRbio;4;29;0,0111615;19,30113;12,94197;32,63174;0,3172975;276,5311;2,058094;3,79002
18;VRbio;4;30;0,0112463;19,29753;12,94013;32,62388;0,5830997;276,3249;2,034386;3,801294
18;VRbio;4;31;0,0110598;19,2943;12,93763;32,61615;0,8680974;276,1129;2,000658;3,812346
18;VRbio;4;32;0,0115463;19,29151;12,93329;32,60671;1,216732;275,8777;2,005066;3,823884
18;VRbio;4;33;0,0127733;19,28867;12,92953;32,59781;1,597997;275,6194;2,00808;3,83666
18;VRbio;4;34;0,009213;19,28477;12,92438;32,58883;2,07877;275,3265;2,040335;3,845863
18;VRbio;4;35;0,0113341;19,28228;12,917;32,57855;2,639111;275,0126;2,102334;3,857198
18;VRbio;4;36;0,0113054;19,27877;12,90971;32,56997;3,177312;274,6664;2,125689;3,868518
18;VRbio;4;37;0,0111995;19,27467;12,9018;32,55843;3,829699;274,2573;2,170387;3,87994
18;VRbio;4;38;0,0119632;19,27204;12,89257;32,5467;4,509157;273,713;2,182803;3,89167
18;VRbio;4;39;0,0222106;19,26769;12,87502;32,52186;5,876191;272,4747;2,218646;3,914101
18;VRbio;4;40;0,0111573;19,26493;12,86535;32,50825;6,571499;271,8273;2,229964;3,925059
18;VRbio;4;41;0,0104534;19,26217;12,85484;32,49437;7,302545;271,0842;2,23224;3,935498
18;VRbio;4;42;0,0125543;19,25975;12,84383;32,47977;8,088696;270,2677;2,180738;3,948077
18;VRbio;4;43;0,0095891;19,25729;12,832;32,46537;8,878673;269,4162;2,138779;3,957639
18;VRbio;4;44;0,0145681;19,25563;12,821;32,44874;9,685869;268,5344;2,071418;3,972362
18;VRbio;4;45;0,0078834;19,25355;12,80948;32,43319;10,50914;267,595;1,97004;3,979958
18;VRbio;4;46;0,0111593;19,25131;12,79784;32,41602;11,27336;266,5925;1,830606;3,991247
18;VRbio;4;47;0,0112936;19,24884;12,78724;32,39914;11,99947;265,6275;1,674351;4,002551
18;VRbio;4;48;0,0123581;19,24486;12,77628;32,38254;12,67687;264,6474;1,541002;4,014955
18;VRbio;4;49;0,0213333;19,23838;12,75532;32,3528;13,92953;262,8105;1,296467;4,036412
18;VRbio;4;50;0,0108818;19,23505;12,74709;32,33824;14,44053;261,9513;1,200477;4,047143
18;VRbio;4;51;0,0113632;19,23091;12,74018;32,32392;14,84669;261,1808;1,092399;4,058521
18;VRbio;4;52;0,0112665;19,22713;12,73598;32,30849;15,12977;260,451;0,9463018;4,069801
18;VRbio;4;53;0,010767;19,22167;12,73136;32,29392;15,34656;259,7275;0,76724;4,080544
18;VRbio;4;54;0,011864;19,21589;12,72883;32,28133;15,47901;259,0998;0,6101601;4,092374
18;VRbio;4;55;0,0106999;19,2116;12,72703;32,26704;15,57051;258,508;0,4975139;4,10308
18;VRbio;4;56;0,0109503;19,20476;12,72563;32,25498;15,71575;257,9169;0,4055422;4,114053
18;VRbio;4;57;0,0112175;19,2001;12,72401;32,24255;15,7983;257,4173;0,3398616;4,125263
