ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
1;VRbio;5;0;0,3333333;(19.0, 9.1, 41.3);(344.6, 21.3, 0.2);3,415874
1;VRbio;5;1;0,0672968;(18.7, 9.7, 40.5);(336.2, 6.1, 3.6);3,432655
1;VRbio;5;2;0,0060871;(18.7, 9.8, 40.5);(335.8, 5.2, 3.2);3,438184
1;VRbio;5;3;0,0073844;(18.7, 9.8, 40.4);(335.8, 4.5, 2.6);3,44566
1;VRbio;5;4;0,0111583;(18.7, 9.9, 40.3);(335.9, 4.2, 1.6);3,45671
1;VRbio;5;5;0,0127145;(18.7, 9.9, 40.3);(336.2, 4.0, 0.8);3,469507
1;VRbio;5;6;0,0105609;(18.7, 10.0, 40.2);(336.9, 3.9, 0.0);3,480033
1;VRbio;5;7;0,0110104;(18.7, 10.1, 40.1);(337.5, 3.6, 359.0);3,490982
1;VRbio;5;8;0,0100779;(18.7, 10.2, 40.0);(338.3, 3.2, 358.2);3,501041
1;VRbio;5;9;0,0112015;(18.7, 10.2, 40.0);(339.3, 2.7, 357.5);3,512239
1;VRbio;5;10;0,0121833;(18.7, 10.3, 39.9);(340.3, 2.3, 356.7);3,524504
1;VRbio;5;11;0,0102629;(18.7, 10.4, 39.8);(341.5, 2.0, 355.8);3,534748
1;VRbio;5;12;0,0112377;(18.7, 10.4, 39.8);(342.9, 1.8, 354.9);3,548853
1;VRbio;5;13;0,0117821;(18.7, 10.5, 39.7);(344.5, 1.5, 354.3);3,557753
1;VRbio;5;14;0,0127775;(18.7, 10.6, 39.6);(346.4, 1.1, 353.7);3,570544
1;VRbio;5;15;0,0087978;(18.7, 10.6, 39.5);(348.4, 0.7, 353.0);3,579295
1;VRbio;5;16;0,0113342;(18.7, 10.7, 39.5);(350.9, 0.2, 352.6);3,590624
1;VRbio;5;17;0,0111342;(18.8, 10.8, 39.4);(353.3, 359.6, 351.8);3,601848
1;VRbio;5;18;0,0110784;(18.8, 10.8, 39.4);(355.5, 359.1, 351.3);3,612863
1;VRbio;5;19;0,0114966;(18.8, 10.9, 39.3);(357.1, 358.9, 350.8);3,624346
1;VRbio;5;20;0,0116822;(18.8, 10.9, 39.2);(358.5, 358.8, 350.4);3,636056
1;VRbio;5;21;0,010445;(18.8, 11.0, 39.1);(359.8, 358.6, 350.2);3,646474
1;VRbio;5;22;0,0147691;(18.8, 11.0, 39.1);(1.6, 358.1, 349.9);3,66133
1;VRbio;5;23;0,0080748;(18.8, 11.0, 39.0);(3.9, 357.2, 349.8);3,669326
1;VRbio;5;24;0,0109703;(18.8, 11.1, 38.9);(6.2, 356.0, 350.1);3,680265
1;VRbio;5;25;0,0111936;(18.8, 11.1, 38.9);(8.1, 354.7, 350.0);3,691465
1;VRbio;5;26;0,0115123;(18.8, 11.1, 38.8);(9.1, 353.5, 350.3);3,703002
1;VRbio;5;27;0,0117267;(18.9, 11.1, 38.7);(10.2, 352.5, 350.7);3,714783
1;VRbio;5;28;0,0123034;(18.9, 11.1, 38.7);(11.3, 351.6, 351.0);3,727021
1;VRbio;5;29;0,009322;(18.9, 11.2, 38.6);(12.0, 350.6, 351.0);3,736361
1;VRbio;5;30;0,0110548;(18.9, 11.2, 38.5);(12.4, 349.6, 351.0);3,747552
1;VRbio;5;31;0,0113031;(18.9, 11.2, 38.4);(12.6, 348.5, 351.1);3,758692
