ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
9;VRslow;1;0;0,3333333;17,87312;13,41474;31,88;9,768656;270;8,663347E-07;3,390762
9;VRslow;1;1;0,0703685;17,9102;13,36231;31,87126;8,872455;269,9118;0,1394892;3,411114
9;VRslow;1;2;0,0063797;17,94657;13,31748;31,88094;7,785214;270,6707;0,2917193;3,416608
9;VRslow;1;3;0,0088955;17,98037;13,27577;31,88988;6,772777;271,3681;0,4176109;3,428616
9;VRslow;1;4;0,0073855;18,01175;13,23692;31,89818;5,831232;272,0088;0,5205408;3,433059
9;VRslow;1;5;0,0203794;18,04094;13,20074;31,90584;4,95706;272,5973;0,6029687;3,453602
9;VRslow;1;6;0,0113371;18,06809;13,16702;31,91285;4,149541;273,1361;0,6671588;3,464782
9;VRslow;1;7;0,0101759;18,09333;13,13563;31,91934;3,399597;273,6351;0,7181659;3,474792
9;VRslow;1;8;0,0113662;18,11674;13,10642;31,92546;2,701094;274,0976;0,7584415;3,486442
9;VRslow;1;9;0,0117712;18,13849;13,07926;31,93111;2,050098;274,5261;0,790391;3,498325
9;VRslow;1;10;0,0105544;18,15868;13,05407;31,93637;1,442544;274,9225;0,8143214;3,508635
9;VRslow;1;11;0,0117588;18,17749;13,03071;31,9412;0,8754801;275,2885;0,8311909;3,520508
9;VRslow;1;12;0,0227038;18,19503;13,009;31,94569;0,3472549;275,6265;0,8418878;3,5435
9;VRslow;1;13;0,0099212;18,21128;12,98876;31,94971;359,8571;275,9332;0,8450444;3,552906
9;VRslow;1;14;0,0112988;18,22633;12,96985;31,95341;359,4052;276,2116;0,8417438;3,564318
9;VRslow;1;15;0,0123623;18,24026;12,95224;31,95677;358,9885;276,4642;0,8368467;3,576834
9;VRslow;1;16;0,0103306;18,25318;12,9358;31,95978;358,6046;276,6911;0,828925;3,587029
9;VRslow;1;17;0,0107237;18,26515;12,92047;31,96246;358,2495;276,8929;0,8194382;3,597568
9;VRslow;1;18;0,0116462;18,27627;12,90617;31,9648;357,9215;277,0704;0,8065882;3,60963
9;VRslow;1;19;0,0218835;18,2866;12,8929;31,96677;357,6172;277,2251;0,7905897;3,631404
9;VRslow;1;20;0,0111661;18,29613;12,88055;31,9684;357,3367;277,3494;0,76912;3,642448
9;VRslow;1;21;0,0109016;18,3049;12,86901;31,96982;357,0794;277,4548;0,7462071;3,653227
9;VRslow;1;22;0,0115186;18,31304;12,85828;31,97106;356,8398;277,5453;0,7215314;3,664987
9;VRslow;1;23;0,0108719;18,32057;12,84833;31,97217;356,6149;277,6237;0,6954161;3,675695
9;VRslow;1;24;0,011188;18,32753;12,83909;31,97317;356,4036;277,6941;0,6694739;3,686915
9;VRslow;1;25;0,0110816;18,33409;12,8305;31,97412;356,2043;277,7572;0,6440248;3,69796
9;VRslow;1;26;0,0113262;18,34014;12,82257;31,97502;356,0182;277,8148;0,6191849;3,709287
9;VRslow;1;27;0,0110436;18,34575;12,8152;31,97582;355,8455;277,8669;0,5966156;3,720325
9;VRslow;1;28;0,0115628;18,351;12,80833;31,97659;355,684;277,9148;0,5772845;3,731934
9;VRslow;1;29;0,0109879;18,35583;12,80199;31,97735;355,5343;277,9577;0,5600652;3,742885
9;VRslow;1;30;0,0109275;18,3603;12,79611;31,97809;355,3935;277,9979;0,5457098;3,75382
9;VRslow;1;31;0,0112818;18,36445;12,79067;31,97882;355,261;278,0359;0,5332906;3,765086
9;VRslow;1;32;0,0110911;18,36833;12,7856;31,97947;355,1367;278,0723;0,5216078;3,776197
9;VRslow;1;33;0,0118582;18,37193;12,7809;31,98012;355,0204;278,1077;0,5091804;3,788054
9;VRslow;1;34;0,0107897;18,37522;12,77654;31,98072;354,9128;278,1418;0,4965989;3,79884
9;VRslow;1;35;0,0110442;18,37829;12,77248;31,98129;354,8129;278,1739;0,4843549;3,809891
9;VRslow;1;36;0,0114019;18,38117;12,76871;31,98182;354,7227;278,2042;0,4728099;3,821296
9;VRslow;1;37;0,0110124;18,38393;12,76521;31,98238;354,6406;278,2321;0,461489;3,8323
9;VRslow;1;38;0,0111521;18,38655;12,76191;31,98289;354,5651;278,2585;0,4519212;3,843448
9;VRslow;1;39;0,0109399;18,38896;12,75881;31,98345;354,4964;278,2852;0,4429941;3,854385
9;VRslow;1;40;0,012197;18,3913;12,75595;31,98403;354,4319;278,3111;0,4336543;3,866591
9;VRslow;1;41;0,0101826;18,39353;12,75327;31,98455;354,371;278,3377;0,4247876;3,876757
9;VRslow;1;42;0,0110306;18,39571;12,75089;31,98496;354,3131;278,3622;0,4148672;3,887791
9;VRslow;1;43;0,0114813;18,39776;12,74873;31,98534;354,2596;278,3857;0,4029553;3,899291
9;VRslow;1;44;0,0117318;18,39968;12,7467;31,98568;354,2098;278,4078;0,391894;3,911025
9;VRslow;1;45;0,0105906;18,40145;12,74476;31,98608;354,1627;278,4284;0,3802418;3,921616
9;VRslow;1;46;0,0112944;18,4031;12,74296;31,98647;354,118;278,4483;0,3682961;3,932902
9;VRslow;1;47;0,0112411;18,40465;12,74132;31,98689;354,0762;278,4688;0,3555737;3,944144
9;VRslow;1;48;0,0111808;18,40608;12,73974;31,9874;354,0372;278,4896;0,3430964;3,955364
9;VRslow;1;49;0,0123166;18,40746;12,73827;31,98792;353,9991;278,512;0,3313389;3,967643
9;VRslow;1;50;0,0097683;18,40877;12,73691;31,98843;353,9618;278,5338;0,3208672;3,977437
9;VRslow;1;51;0,0110304;18,40999;12,73567;31,98891;353,9256;278,5535;0,3123582;3,988442
