ID;Bedingung;Block;Frame;Framerate;Position_x;Position_y;Position_z;Rotation_x;Rotation_y;Rotation_z;Timestamp
13;VRbio;2;0;0,3333333;18,92213;12,96813;31,05986;350,9897;275,1915;358,236;3,42
13;VRbio;2;1;0,0767496;18,92781;12,91938;31,04032;353,4383;273,7907;358,2605;3,440493
13;VRbio;2;2;0,0063946;18,92949;12,91712;31,03783;353,6183;273,704;358,1967;3,446267
13;VRbio;2;3;0,004311;18,92898;12,9155;31,03648;353,7061;273,6408;358,1328;3,450403
13;VRbio;2;4;0,0113196;18,92998;12,91452;31,03489;353,7788;273,5467;358,1086;3,461871
13;VRbio;2;5;0,0117478;18,93054;12,9133;31,03242;353,847;273,4654;358,0939;3,473628
13;VRbio;2;6;0,0106715;18,93208;12,91209;31,03051;353,9404;273,3571;358,0794;3,484281
13;VRbio;2;7;0,0122202;18,93259;12,91102;31,02838;354,0363;273,2608;358,0578;3,496514
13;VRbio;2;8;0,0108173;18,93303;12,90997;31,02487;354,162;273,1682;358,0103;3,507667
13;VRbio;2;9;0,0221059;18,93519;12,90535;31,01714;354,5835;272,9203;357,804;3,5297
13;VRbio;2;10;0,0109177;18,93585;12,90347;31,01359;354,7772;272,8867;357,7433;3,540349
13;VRbio;2;11;0,0116998;18,93775;12,90305;31,00897;355,0069;272,8623;357,7204;3,552103
13;VRbio;2;12;0,0108116;18,93845;12,8999;31,00599;355,2936;272,8011;357,7764;3,562868
13;VRbio;2;13;0,0109123;18,93917;12,89599;31,00123;355,6203;272,7198;357,8611;3,573779
13;VRbio;2;14;0,0111486;18,94;12,89083;30,99745;356,0287;272,6228;357,9924;3,585002
13;VRbio;2;15;0,0110789;18,94284;12,88427;30,99277;356,3638;272,5394;358,0493;3,596085
13;VRbio;2;16;0,0113722;18,94551;12,87944;30,98997;356,6518;272,4435;358,0674;3,607383
13;VRbio;2;17;0,0118806;18,94836;12,87532;30,98604;356,9079;272,3259;358,0747;3,619276
13;VRbio;2;18;0,0103828;18,95107;12,8722;30,98243;357,1227;272,2334;358,0533;3,629628
13;VRbio;2;19;0,0116437;18,95432;12,86946;30,97846;357,3181;272,1141;358,0292;3,641285
13;VRbio;2;20;0,0103965;18,95729;12,86669;30,97492;357,4964;272,0044;357,9726;3,651674
13;VRbio;2;21;0,0114452;18,96159;12,86305;30,97094;357,655;271,8827;357,9172;3,663137
13;VRbio;2;22;0,011698;18,96528;12,86032;30,96821;357,745;271,7604;357,865;3,674838
13;VRbio;2;23;0,0106136;18,97039;12,85942;30,96452;357,7617;271,6358;357,8554;3,685417
13;VRbio;2;24;0,0111575;18,97462;12,85799;30,96112;357,6385;271,5625;357,8631;3,696595
13;VRbio;2;25;0,0112418;18,97881;12,85868;30,95868;357,5333;271,4944;357,8936;3,707825
13;VRbio;2;26;0,0110474;18,98094;12,85841;30,95697;357,4716;271,4386;357,908;3,718893
13;VRbio;2;27;0,0114858;18,98499;12,85969;30,9545;357,3635;271,3955;357,9545;3,730341
13;VRbio;2;28;0,0108697;18,98887;12,86003;30,95122;357,3211;271,3561;358,0026;3,741208
