ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-06_10-31-05;TP;1;4;3,484881;3,484868;3,865994;2,808042;0,38
;RE;;2022-02-06_10-31-05;MWD;1;7;4,870052;5,260847;5,607433;0,39;0,35
;RE;;2022-02-06_10-31-05;TP;2;2;6,610421;7,03131;7,425564;0,42;0,39
;RE;;2022-02-06_10-31-05;MWD;2;4;8,477659;8,843637;9,214818;0,37;0,37
;RE;;2022-02-06_10-31-05;TP;3;1;10,21774;10,64216;11,00491;0,42;0,36
;RE;;2022-02-06_10-31-05;MWD;3;1;12,00687;12,43122;12,80396;0,42;0,37
;RE;;2022-02-06_10-31-05;TP;4;7;13,80644;14,22485;14,48722;0,42;0,26
;RE;;2022-02-06_10-31-05;MWD;4;2;15,48857;15,83921;16,06885;0,35;0,23
;RE;;2022-02-06_10-31-05;MWD;5;7;17,07026;17,3701;17,61024;0,30;0,24
