ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-15_14-34-07;TP;1;7;5,541165;5,541153;5,774331;4,65264;0,23
;RE;;2022-02-15_14-34-07;MWD;1;7;7,786138;8,188636;8,441576;0,40;0,25
;RE;;2022-02-15_14-34-07;TP;2;2;10,44911;10,77798;11,02848;0,33;0,25
;RE;;2022-02-15_14-34-07;MWD;2;2;13,03539;13,31457;13,58724;0,28;0,27
;RE;;2022-02-15_14-34-07;TP;3;4;15,59251;15,86258;16,16039;0,27;0,30
;RE;;2022-02-15_14-34-07;MWD;3;1;18,16765;18,48839;18,78858;0,32;0,30
;RE;;2022-02-15_14-34-07;TP;4;1;20,79394;21,11252;21,41276;0,32;0,30
;RE;;2022-02-15_14-34-07;MWD;4;4;23,41588;23,65495;23,93035;0,24;0,28
;RE;;2022-02-15_14-34-07;TP;5;2;25,94063;26,27381;26,55083;0,33;0,28
;RE;;2022-02-15_14-34-07;MWD;5;2;28,5617;28,85989;29,13825;0,30;0,28
;RE;;2022-02-15_14-34-07;TP;6;7;31,14796;31,44167;31,7175;0,29;0,28
;RE;;2022-02-15_14-34-07;MWD;6;4;33,72797;34,04523;34,34924;0,32;0,30
;RE;;2022-02-15_14-34-07;TP;7;1;36,35559;36,68274;36,98758;0,33;0,30
;RE;;2022-02-15_14-34-07;MWD;7;7;38,99628;39,3005;39,59322;0,30;0,29
;RE;;2022-02-15_14-34-07;TP;8;4;41,60151;42,03628;42,34322;0,43;0,31
;RE;;2022-02-15_14-34-07;MWD;8;1;44,35447;44,67707;44,9593;0,32;0,28
;RE;;2022-02-15_14-34-07;TP;9;4;46,96992;47,32716;47,61848;0,36;0,29
;RE;;2022-02-15_14-34-07;MWD;9;1;49,62622;49,88047;50,18892;0,25;0,31
;RE;;2022-02-15_14-34-07;TP;10;1;52,19588;52,5145;52,76246;0,32;0,25
;RE;;2022-02-15_14-34-07;MWD;10;2;54,76865;55,07275;55,38316;0,30;0,31
;RE;;2022-02-15_14-34-07;TP;11;2;57,39409;58,42636;58,96968;1,03;0,54
;RE;;2022-02-15_14-34-07;MWD;11;7;60,97548;61,12218;61,43722;0,15;0,32
;RE;;2022-02-15_14-34-07;TP;12;7;63,44556;63,70523;64,00608;0,26;0,30
;RE;;2022-02-15_14-34-07;MWD;12;4;66,01324;66,36562;66,69714;0,35;0,33
;RE;;2022-02-15_14-34-07;TP;13;1;68,70417;68,94151;69,21179;0,24;0,27
;RE;;2022-02-15_14-34-07;MWD;13;2;71,2227;71,25528;71,45831;0,03;0,20
;RE;;2022-02-15_14-34-07;TP;14;2;73,46514;73,5106;73,70744;0,05;0,20
;RE;;2022-02-15_14-34-07;MWD;14;7;75,71442;75,91139;76,09228;0,20;0,18
;RE;;2022-02-15_14-34-07;TP;15;4;78,1001;78,13392;78,3369;0,03;0,20
;RE;;2022-02-15_14-34-07;MWD;15;4;80,34631;80,43559;80,63878;0,09;0,20
;RE;;2022-02-15_14-34-07;TP;16;7;82,64865;82,719;82,923;0,07;0,20
;RE;;2022-02-15_14-34-07;MWD;16;1;84,9265;85,06816;85,26952;0,14;0,20
;RE;;2022-02-15_14-34-07;TP;17;1;87,3146;87,35123;87,55199;0,04;0,20
;RE;;2022-02-15_14-34-07;MWD;17;1;89,56033;89,70988;89,93557;0,15;0,23
;RE;;2022-02-15_14-34-07;TP;18;4;91,94679;92,17054;92,37641;0,22;0,21
;RE;;2022-02-15_14-34-07;MWD;18;7;94,38404;94,55945;94,7594;0,18;0,20
;RE;;2022-02-15_14-34-07;TP;19;7;96,76711;96,96033;97,14727;0,19;0,19
;RE;;2022-02-15_14-34-07;MWD;19;4;99,15611;99,28103;99,47833;0,12;0,20
;RE;;2022-02-15_14-34-07;TP;20;2;101,4884;101,5933;101,8235;0,10;0,23
;RE;;2022-02-15_14-34-07;MWD;20;2;103,8314;104,052;104,2864;0,22;0,23
