ID;Bedingung;Block;BlockStart;BlockEnd;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
1;RE;1;2022-01-23_14-53-01;;TP;1;1;4,74069;4,740678;4,945586;4,00858;0,20
1;RE;1;2022-01-23_14-53-01;;MWD;1;4;5,952323;6,48338;6,696422;0,53;0,21
1;RE;1;2022-01-23_14-53-01;;TP;2;4;7,699555;8,156654;8,365035;0,46;0,21
1;RE;1;2022-01-23_14-53-01;;MWD;2;2;9,370613;9,895571;10,14072;0,52;0,25
1;RE;1;2022-01-23_14-53-01;;TP;3;7;11,1455;11,6463;11,85213;0,50;0,21
1;RE;1;2022-01-23_14-53-01;;MWD;3;1;12,85538;13,46519;13,68748;0,61;0,22
1;RE;1;2022-01-23_14-53-01;;TP;4;2;14,69012;15,18377;15,39181;0,49;0,21
1;RE;1;2022-01-23_14-53-01;;MWD;4;7;16,39405;16,82988;17,03809;0,44;0,21
1;RE;1;2022-01-23_14-53-01;;TP;5;4;18,04315;18,45712;18,70598;0,41;0,25
1;RE;1;2022-01-23_14-53-01;;MWD;5;7;19,71178;20,22742;20,44645;0,52;0,22
1;RE;1;2022-01-23_14-53-01;;TP;6;2;21,45217;21,93126;22,14364;0,48;0,21
1;RE;1;2022-01-23_14-53-01;;MWD;6;1;23,14604;23,65037;23,86131;0,50;0,21
1;RE;1;2022-01-23_14-53-01;;TP;7;7;24,8635;25,35298;25,59541;0,49;0,24
1;RE;1;2022-01-23_14-53-01;;MWD;7;2;26,59952;27,16394;27,38747;0,56;0,22
1;RE;1;2022-01-23_14-53-01;;TP;8;1;28,38953;28,92464;29,16234;0,54;0,24
1;RE;1;2022-01-23_14-53-01;;MWD;8;4;30,16558;30,76639;31,00536;0,60;0,24
1;RE;1;2022-01-23_14-53-01;;TP;9;2;32,01048;32,61606;32,85681;0,61;0,24
