ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-20_14-30-24;TP;1;2;7,448009;14,44508;14,64157;7,00;0,20
;RE;;2022-02-20_14-30-24;MWD;1;2;16,64555;18,79166;19,00814;2,15;0,22
;RE;;2022-02-20_14-30-24;TP;2;4;21,01068;23,7414;23,9247;2,73;0,18
;RE;;2022-02-20_14-30-24;MWD;2;1;25,92628;28,59151;28,75774;2,67;0,17
;RE;;2022-02-20_14-30-24;TP;3;7;30,75907;33,44118;33,60809;2,68;0,17
;RE;;2022-02-20_14-30-24;MWD;3;7;35,60985;38,4749;38,65849;2,87;0,18
;RE;;2022-02-20_14-30-24;TP;4;1;40,66011;43,97522;44,15794;3,32;0,18
;RE;;2022-02-20_14-30-24;MWD;4;4;46,15984;48,54159;48,72458;2,38;0,18
;RE;;2022-02-20_14-30-24;TP;5;1;50,72738;53,34132;53,54114;2,61;0,20
;RE;;2022-02-20_14-30-24;MWD;5;2;55,54426;58,0246;58,2078;2,48;0,18
;RE;;2022-02-20_14-30-24;TP;6;4;60,21035;62,97459;63,1576;2,76;0,18
;RE;;2022-02-20_14-30-24;MWD;6;7;65,15942;67,60815;67,80819;2,45;0,20
;RE;;2022-02-20_14-30-24;TP;7;2;69,81011;72,87514;73,12436;3,07;0,25
;RE;;2022-02-20_14-30-24;MWD;7;4;75,12604;78,05766;78,24227;2,93;0,18
;RE;;2022-02-20_14-30-24;TP;8;7;80,24431;83,10772;83,29108;2,86;0,18
;RE;;2022-02-20_14-30-24;MWD;8;1;85,29324;87,44096;87,67432;2,15;0,23
;RE;;2022-02-20_14-30-24;TP;9;1;89,67548;92,75787;92,94139;3,08;0,18
;RE;;2022-02-20_14-30-24;MWD;9;7;94,943;97,57427;97,74112;2,63;0,17
;RE;;2022-02-20_14-30-24;TP;10;4;99,74335;102,5251;102,7078;2,78;0,18
;RE;;2022-02-20_14-30-24;MWD;10;1;104,7107;107,6745;107,8576;2,96;0,18
;RE;;2022-02-20_14-30-24;TP;11;2;109,8584;112,8409;113,0408;2,98;0,20
;RE;;2022-02-20_14-30-24;MWD;11;4;115,0445;118,1578;118,3581;3,11;0,20
;RE;;2022-02-20_14-30-24;TP;12;7;120,3604;123,5409;123,7408;3,18;0,20
;RE;;2022-02-20_14-30-24;MWD;12;2;125,7433;128,7411;128,9241;3,00;0,18
;RE;;2022-02-20_14-30-24;TP;13;1;130,926;133,8578;134,041;2,93;0,18
;RE;;2022-02-20_14-30-24;MWD;13;4;136,0434;138,3908;138,5743;2,35;0,18
;RE;;2022-02-20_14-30-24;TP;14;2;140,5767;143,4074;143,6075;2,83;0,20
;RE;;2022-02-20_14-30-24;MWD;14;2;145,6091;147,9409;148,142;2,33;0,20
;RE;;2022-02-20_14-30-24;TP;15;4;150,144;152,7576;152,9406;2,61;0,18
;RE;;2022-02-20_14-30-24;MWD;15;7;154,9415;157,3575;157,5242;2,42;0,17
;RE;;2022-02-20_14-30-24;TP;16;7;159,5257;162,4242;162,5921;2,90;0,17
;RE;;2022-02-20_14-30-24;MWD;16;1;164,595;166,874;167,0254;2,28;0,15
;RE;;2022-02-20_14-30-24;TP;17;2;169,0276;171,9242;172,1073;2,90;0,18
;RE;;2022-02-20_14-30-24;MWD;17;4;174,1089;176,5909;176,7741;2,48;0,18
;RE;;2022-02-20_14-30-24;TP;18;7;178,7761;182,1076;182,2919;3,33;0,18
;RE;;2022-02-20_14-30-24;MWD;18;7;184,297;187,1577;187,3238;2,86;0,17
;RE;;2022-02-20_14-30-24;TP;19;4;189,3256;192,3254;192,5076;3,00;0,18
;RE;;2022-02-20_14-30-24;MWD;19;2;194,5109;196,9247;197,124;2,41;0,20
;RE;;2022-02-20_14-30-24;TP;20;1;199,1253;201,624;201,8074;2,50;0,18
;RE;;2022-02-20_14-30-24;MWD;20;1;203,8101;207,4744;207,7906;3,66;0,32
