ID;Bedingung;Block;BlockStart;BlockEnd;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
1;RE;1;2022-01-23_14-54-01;;TP;1;1;4,628282;4,628271;4,821535;4,023674;0,19
1;RE;1;2022-01-23_14-54-01;;MWD;1;7;5,829057;6,22239;6,436013;0,39;0,21
1;RE;1;2022-01-23_14-54-01;;TP;2;7;7,438242;7,878159;8,090286;0,44;0,21
1;RE;1;2022-01-23_14-54-01;;MWD;2;1;9,094719;9,596528;9,804063;0,50;0,21
1;RE;1;2022-01-23_14-54-01;;TP;3;4;10,80777;11,19517;11,41938;0,39;0,22
1;RE;1;2022-01-23_14-54-01;;MWD;3;2;12,42534;12,92315;13,14844;0,50;0,23
1;RE;1;2022-01-23_14-54-01;;TP;4;2;14,15126;14,68969;14,9175;0,54;0,23
1;RE;1;2022-01-23_14-54-01;;MWD;4;4;15,91918;16,45314;16,6967;0,53;0,24
1;RE;1;2022-01-23_14-54-01;;TP;5;2;17,70375;18,27428;18,52303;0,57;0,25
1;RE;1;2022-01-23_14-54-01;;MWD;5;4;19,52654;20,10839;20,32717;0,58;0,22
1;RE;1;2022-01-23_14-54-01;;TP;6;4;21,32875;21,71736;21,94289;0,39;0,23
1;RE;1;2022-01-23_14-54-01;;MWD;6;2;22,94657;23,50276;23,73859;0,56;0,24
1;RE;1;2022-01-23_14-54-01;;TP;7;1;24,74409;25,14352;25,40125;0,40;0,26
1;RE;1;2022-01-23_14-54-01;;MWD;7;7;26,40307;26,91038;27,14371;0,51;0,23
1;RE;1;2022-01-23_14-54-01;;TP;8;7;28,14997;28,54272;28,79112;0,39;0,25
1;RE;1;2022-01-23_14-54-01;;MWD;8;1;29,79433;30,2282;30,51435;0,43;0,29
1;RE;1;2022-01-23_14-54-01;;TP;9;7;31,51894;31,97476;32,2369;0,46;0,26
1;RE;1;2022-01-23_14-54-01;;MWD;9;4;33,24022;33,73829;33,99305;0,50;0,25
1;RE;1;2022-01-23_14-54-01;;TP;10;4;34,99791;35,36794;35,62435;0,37;0,26
1;RE;1;2022-01-23_14-54-01;;MWD;10;2;36,62972;36,97039;37,25231;0,34;0,28
1;RE;1;2022-01-23_14-54-01;;TP;11;2;38,25698;38,72908;39,20962;0,47;0,48
