ID;Bedingung;Block;BlockStart;BlockEnd;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
1;RE;1;2022-01-23_14-50-52;;TP;1;7;4,554992;4,554983;4,986977;3,279547;0,43
1;RE;1;2022-01-23_14-50-52;;MWD;1;2;5,99489;6,724038;7,11507;0,73;0,39
1;RE;1;2022-01-23_14-50-52;;TP;2;1;8,118705;8,646392;8,954913;0,53;0,31
1;RE;1;2022-01-23_14-50-52;;MWD;2;4;9,957151;10,59598;10,92179;0,64;0,33
1;RE;1;2022-01-23_14-50-52;;TP;3;4;11,9237;12,49373;12,82086;0,57;0,33
1;RE;1;2022-01-23_14-50-52;;MWD;3;1;13,8239;14,6206;14,94454;0,80;0,32
1;RE;1;2022-01-23_14-50-52;;TP;4;2;15,94908;16,54069;16,84152;0,59;0,30
1;RE;1;2022-01-23_14-50-52;;MWD;4;7;17,84716;18,49852;18,81566;0,65;0,32
1;RE;1;2022-01-23_14-50-52;;TP;5;7;19,82231;20,46763;20,77025;0,65;0,30
1;RE;1;2022-01-23_14-50-52;;MWD;5;4;21,77285;22,33418;22,63837;0,56;0,30
1;RE;1;2022-01-23_14-50-52;;TP;6;2;23,64181;24,18438;24,47066;0,54;0,29
1;RE;1;2022-01-23_14-50-52;;MWD;6;1;25,47202;26,03123;26,31812;0,56;0,29
1;RE;1;2022-01-23_14-50-52;;TP;7;4;27,32271;27,89787;28,25004;0,58;0,35
