ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-20_13-18-53;TP;1;7;7,512383;9,941316;10,17124;2,43;0,23
;RE;;2022-02-20_13-18-53;MWD;1;1;12,17402;12,55557;12,75721;0,38;0,20
;RE;;2022-02-20_13-18-53;TP;2;2;14,75999;15,02165;15,20459;0,26;0,18
;RE;;2022-02-20_13-18-53;MWD;2;7;17,20683;17,45475;17,63907;0,25;0,18
;RE;;2022-02-20_13-18-53;TP;3;1;19,64149;19,82216;20,02111;0,18;0,20
;RE;;2022-02-20_13-18-53;MWD;3;2;22,02357;22,33841;22,53835;0,31;0,20
;RE;;2022-02-20_13-18-53;TP;4;4;24,54118;24,75465;24,97116;0,21;0,22
;RE;;2022-02-20_13-18-53;MWD;4;4;26,97293;27,27174;27,47103;0,30;0,20
;RE;;2022-02-20_13-18-53;TP;5;7;29,47358;29,82233;30,02197;0,35;0,20
;RE;;2022-02-20_13-18-53;MWD;5;7;32,02479;32,22165;32,40531;0,20;0,18
;RE;;2022-02-20_13-18-53;TP;6;2;34,4078;34,63909;34,82116;0,23;0,18
;RE;;2022-02-20_13-18-53;MWD;6;2;36,82353;37,13807;37,33877;0,31;0,20
;RE;;2022-02-20_13-18-53;TP;7;1;39,34009;39,62147;39,83784;0,28;0,22
;RE;;2022-02-20_13-18-53;MWD;7;4;41,83943;41,98817;42,20509;0,15;0,22
;RE;;2022-02-20_13-18-53;TP;8;4;44,20649;44,40516;44,57191;0,20;0,17
;RE;;2022-02-20_13-18-53;MWD;8;1;46,57375;46,75481;46,98812;0,18;0,23
;RE;;2022-02-20_13-18-53;TP;9;7;48,99002;49,80552;50,08773;0,82;0,28
;RE;;2022-02-20_13-18-53;MWD;9;4;52,08901;52,47141;52,70483;0,38;0,23
;RE;;2022-02-20_13-18-53;TP;10;2;54,70765;54,97248;55,17179;0,26;0,20
;RE;;2022-02-20_13-18-53;MWD;10;1;57,1737;57,42154;57,63941;0,25;0,22
;RE;;2022-02-20_13-18-53;TP;11;1;59,64235;59,88875;60,12182;0,25;0,23
;RE;;2022-02-20_13-18-53;MWD;11;2;62,12374;62,37173;62,63788;0,25;0,27
;RE;;2022-02-20_13-18-53;TP;12;4;64,64037;64,88778;65,13841;0,25;0,25
;RE;;2022-02-20_13-18-53;MWD;12;7;67,14073;67,40445;67,88811;0,26;0,48
;RE;;2022-02-20_13-18-53;TP;13;7;69,88958;70,15512;70,38804;0,27;0,23
;RE;;2022-02-20_13-18-53;MWD;13;4;72,39003;72,67132;72,88846;0,28;0,22
;RE;;2022-02-20_13-18-53;TP;14;1;74,89075;75,20515;75,40565;0,31;0,20
;RE;;2022-02-20_13-18-53;MWD;14;2;77,40886;77,70463;77,90434;0,30;0,20
;RE;;2022-02-20_13-18-53;TP;15;4;79,9062;80,13853;80,33799;0,23;0,20
;RE;;2022-02-20_13-18-53;MWD;15;7;82,33983;82,6545;82,85569;0,31;0,20
;RE;;2022-02-20_13-18-53;TP;16;2;84,85795;85,13894;85,32172;0,28;0,18
;RE;;2022-02-20_13-18-53;MWD;16;1;87,32646;87,55428;87,73943;0,23;0,19
;RE;;2022-02-20_13-18-53;TP;17;2;89,74232;90,03794;90,22095;0,30;0,18
;RE;;2022-02-20_13-18-53;MWD;17;2;92,22337;92,5209;92,70551;0,30;0,18
;RE;;2022-02-20_13-18-53;TP;18;7;94,70693;94,95615;95,12203;0,25;0,17
;RE;;2022-02-20_13-18-53;MWD;18;4;97,12342;97,65496;97,83791;0,53;0,18
;RE;;2022-02-20_13-18-53;TP;19;4;99,83936;100,1388;100,3212;0,30;0,18
;RE;;2022-02-20_13-18-53;MWD;19;7;102,324;102,6211;102,8049;0,30;0,18
;RE;;2022-02-20_13-18-53;TP;20;1;104,8081;105,0714;105,2381;0,26;0,17
;RE;;2022-02-20_13-18-53;MWD;20;1;107,2407;107,5877;107,7545;0,35;0,17
