ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-15_14-32-14;TP;1;2;5,094819;5,094807;5,344209;4,580676;0,25
;RE;;2022-02-15_14-32-14;MWD;1;7;7,351661;7,708891;7,960665;0,36;0,25
;RE;;2022-02-15_14-32-14;TP;2;1;10,00344;10,3511;10,61791;0,35;0,27
;RE;;2022-02-15_14-32-14;MWD;2;1;12,65935;12,97631;13,2403;0,32;0,26
;RE;;2022-02-15_14-32-14;TP;3;4;15,24945;15,31058;15,61509;0,06;0,30
;RE;;2022-02-15_14-32-14;MWD;3;2;17,62317;17,90473;18,15055;0,28;0,25
;RE;;2022-02-15_14-32-14;TP;4;7;20,1897;20,50259;20,76828;0,31;0,27
;RE;;2022-02-15_14-32-14;MWD;4;4;22,77416;23,07476;23,31742;0,30;0,24
;RE;;2022-02-15_14-32-14;TP;5;1;25,32065;25,58464;25,84966;0,26;0,27
;RE;;2022-02-15_14-32-14;MWD;5;2;27,85416;28,09403;28,34825;0,24;0,25
;RE;;2022-02-15_14-32-14;TP;6;4;30,35336;30,51528;30,78201;0,16;0,27
;RE;;2022-02-15_14-32-14;MWD;6;1;32,78849;33,09196;33,35975;0,30;0,27
;RE;;2022-02-15_14-32-14;TP;7;7;35,3658;35,6388;35,89413;0,27;0,26
;RE;;2022-02-15_14-32-14;MWD;7;4;37,89998;38,16771;38,40798;0,27;0,24
;RE;;2022-02-15_14-32-14;TP;8;2;40,41459;40,63335;40,93592;0,22;0,30
;RE;;2022-02-15_14-32-14;MWD;8;7;42,94196;43,22644;43,49901;0,28;0,27
;RE;;2022-02-15_14-32-14;TP;9;4;45,50644;45,81574;46,07562;0,31;0,26
;RE;;2022-02-15_14-32-14;MWD;9;4;48,08069;48,35767;48,62385;0,28;0,27
;RE;;2022-02-15_14-32-14;TP;10;1;50,63092;50,92555;51,18305;0,29;0,26
;RE;;2022-02-15_14-32-14;MWD;10;2;53,19125;53,47477;53,7395;0,28;0,26
;RE;;2022-02-15_14-32-14;TP;11;2;55,74735;56,02414;56,28941;0,28;0,27
;RE;;2022-02-15_14-32-14;MWD;11;1;58,29524;58,6078;58,84442;0,31;0,24
;RE;;2022-02-15_14-32-14;TP;12;7;60,84948;61,14461;61,40732;0,30;0,26
;RE;;2022-02-15_14-32-14;MWD;12;7;63,41319;63,72411;63,95178;0,31;0,23
;RE;;2022-02-15_14-32-14;TP;13;1;65,96112;66,1336;66,42302;0,17;0,29
;RE;;2022-02-15_14-32-14;MWD;13;7;68,42918;68,71423;68,97042;0,29;0,26
;RE;;2022-02-15_14-32-14;TP;14;4;70,97313;71,31485;71,59368;0,34;0,28
;RE;;2022-02-15_14-32-14;MWD;14;2;73,60328;73,89326;74,18331;0,29;0,29
;RE;;2022-02-15_14-32-14;TP;15;7;76,18614;76,51241;76,79137;0,33;0,28
;RE;;2022-02-15_14-32-14;MWD;15;1;78,79807;79,09531;79,33495;0,30;0,24
;RE;;2022-02-15_14-32-14;TP;16;2;81,34134;81,65874;82,01806;0,32;0,36
;RE;;2022-02-15_14-32-14;MWD;16;4;84,02923;84,37942;84,67776;0,35;0,30
;RE;;2022-02-15_14-32-14;TP;17;2;86,68236;87,07327;87,35133;0,39;0,28
;RE;;2022-02-15_14-32-14;MWD;17;4;89,35955;89,64226;89,94592;0,28;0,30
;RE;;2022-02-15_14-32-14;TP;18;7;91,95537;92,27647;92,57281;0,32;0,30
;RE;;2022-02-15_14-32-14;MWD;18;2;94,57895;94,81665;95,1313;0,24;0,31
;RE;;2022-02-15_14-32-14;TP;19;1;97,13561;97,41637;97,66282;0,28;0,25
;RE;;2022-02-15_14-32-14;MWD;19;7;99,66982;99,8587;100,1434;0,19;0,28
;RE;;2022-02-15_14-32-14;TP;20;4;102,154;102,3784;102,7122;0,22;0,33
;RE;;2022-02-15_14-32-14;MWD;20;1;104,7177;104,9671;105,2788;0,25;0,31
