ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-16_12-31-25;TP;1;1;38,4693;38,46929;38,73032;6,264296;0,26
;RE;;2022-02-16_12-31-25;MWD;1;4;38,89597;42,16993;42,40118;3,27;0,23
;RE;;2022-02-16_12-31-25;TP;2;4;42,59824;45,53668;45,76978;2,94;0,23
;RE;;2022-02-16_12-31-25;MWD;2;2;45,90239;48,46939;48,67387;2,57;0,20
;RE;;2022-02-16_12-31-25;TP;3;7;48,7981;53,1035;53,33587;4,31;0,23
;RE;;2022-02-16_12-31-25;MWD;3;1;53,50144;56,20307;56,43717;2,70;0,23
;RE;;2022-02-16_12-31-25;TP;4;2;56,63853;59,40388;59,6013;2,77;0,20
;RE;;2022-02-16_12-31-25;MWD;4;7;59,73219;62,20168;62,43513;2,47;0,23
;RE;;2022-02-16_12-31-25;TP;5;2;62,60035;65,06667;65,26791;2,47;0,20
;RE;;2022-02-16_12-31-25;MWD;5;2;65,39893;67,80238;68,00092;2,40;0,20
;RE;;2022-02-16_12-31-25;TP;6;1;68,19822;71,06776;71,26873;2,87;0,20
;RE;;2022-02-16_12-31-25;MWD;6;7;71,433;74,20382;74,46836;2,77;0,26
;RE;;2022-02-16_12-31-25;TP;7;7;74,59899;78,20111;78,36782;3,60;0,17
;RE;;2022-02-16_12-31-25;MWD;7;1;78,5326;80,80247;81,03446;2,27;0,23
;RE;;2022-02-16_12-31-25;TP;8;4;81,16733;84,29762;84,50346;3,13;0,21
;RE;;2022-02-16_12-31-25;MWD;8;4;84,63426;87,30344;87,56828;2,67;0,26
;RE;;2022-02-16_12-31-25;TP;9;7;87,73305;94,03064;94,26391;6,30;0,23
;RE;;2022-02-16_12-31-25;MWD;9;4;94,39774;96,66994;96,90285;2,27;0,23
;RE;;2022-02-16_12-31-25;TP;10;4;97,10198;100,565;100,7982;3,46;0,23
;RE;;2022-02-16_12-31-25;MWD;10;7;100,9655;103,2691;103,4353;2,30;0,17
;RE;;2022-02-16_12-31-25;TP;11;1;103,5994;106,8674;107,0671;3,27;0,20
;RE;;2022-02-16_12-31-25;MWD;11;2;107,2319;109,4331;109,6349;2,20;0,20
;RE;;2022-02-16_12-31-25;TP;12;2;109,8324;119,5014;119,7661;9,67;0,26
;RE;;2022-02-16_12-31-25;MWD;12;1;119,932;122,6667;122,8687;2,73;0,20
;RE;;2022-02-16_12-31-25;TP;13;1;123,0013;126,3663;126,7022;3,37;0,34
;RE;;2022-02-16_12-31-25;MWD;13;4;126,9003;129,6305;129,9312;2,73;0,30
;RE;;2022-02-16_12-31-25;TP;14;2;130,0629;133,2308;133,441;3,17;0,21
;RE;;2022-02-16_12-31-25;MWD;14;7;133,6294;136,8998;137,0647;3,27;0,16
;RE;;2022-02-16_12-31-25;TP;15;4;137,1957;140,5393;140,7997;3,34;0,26
;RE;;2022-02-16_12-31-25;MWD;15;2;140,9322;143,5338;143,7349;2,60;0,20
;RE;;2022-02-16_12-31-25;TP;16;7;143,8669;146,9362;147,2003;3,07;0,26
;RE;;2022-02-16_12-31-25;MWD;16;1;147,3647;149,7664;149,9669;2,40;0,20
;RE;;2022-02-16_12-31-25;TP;17;7;150,1649;152,8329;153,0638;2,67;0,23
;RE;;2022-02-16_12-31-25;MWD;17;4;153,1625;155,6337;155,868;2,47;0,23
;RE;;2022-02-16_12-31-25;TP;18;1;156,0645;158,769;158,9672;2,70;0,20
;RE;;2022-02-16_12-31-25;MWD;18;1;159,1647;161,3341;161,536;2,17;0,20
;RE;;2022-02-16_12-31-25;TP;19;4;161,7323;164,67;164,8662;2,94;0,20
;RE;;2022-02-16_12-31-25;MWD;19;7;164,9992;167,3337;167,5354;2,33;0,20
;RE;;2022-02-16_12-31-25;TP;20;2;167,665;170,5668;170,7698;2,90;0,20
;RE;;2022-02-16_12-31-25;MWD;20;2;170,8988;173,0335;173,333;2,13;0,30
