ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-01_16-42-23;TP;1;4;4,945463;4,945432;5,716869;4,861094;0,77
;RE;;2022-02-01_16-42-23;MWD;1;7;6,723851;7,221577;7,493237;0,50;0,27
;RE;;2022-02-01_16-42-23;TP;2;1;8,496841;8,856556;9,097877;0,36;0,24
;RE;;2022-02-01_16-42-23;MWD;2;4;10,10332;10,52839;10,7664;0,43;0,24
;RE;;2022-02-01_16-42-23;TP;3;2;11,7703;12,10875;12,34002;0,34;0,23
;RE;;2022-02-01_16-42-23;MWD;3;1;13,3449;13,61026;13,82829;0,27;0,22
;RE;;2022-02-01_16-42-23;TP;4;7;14,83169;15,11658;15,32127;0,28;0,20
;RE;;2022-02-01_16-42-23;MWD;4;2;16,32452;16,57132;16,78539;0,25;0,21
;RE;;2022-02-01_16-42-23;TP;5;7;17,78767;18,06982;18,25913;0,28;0,19
;RE;;2022-02-01_16-42-23;MWD;5;2;19,26532;19,59175;19,80176;0,33;0,21
;RE;;2022-02-01_16-42-23;TP;6;2;20,80719;21,11343;21,33401;0,31;0,22
;RE;;2022-02-01_16-42-23;MWD;6;7;22,33874;22,59917;22,80632;0,26;0,21
;RE;;2022-02-01_16-42-23;TP;7;1;23,80889;24,07714;24,28499;0,27;0,21
;RE;;2022-02-01_16-42-23;MWD;7;4;25,28701;25,56334;25,80288;0,28;0,24
;RE;;2022-02-01_16-42-23;TP;8;4;26,8083;27,11795;27,33;0,31;0,21
;RE;;2022-02-01_16-42-23;MWD;8;1;28,33418;28,61536;28,84105;0,28;0,23
;RE;;2022-02-01_16-42-23;TP;9;2;29,84633;30,13442;30,33194;0,29;0,20
;RE;;2022-02-01_16-42-23;MWD;9;1;31,33475;31,64236;31,86176;0,31;0,22
;RE;;2022-02-01_16-42-23;TP;10;1;32,86523;33,07065;33,30215;0,21;0,23
;RE;;2022-02-01_16-42-23;MWD;10;4;34,30847;34,53182;34,7756;0,22;0,24
;RE;;2022-02-01_16-42-23;TP;11;7;35,77876;35,9921;36,30967;0,21;0,32
;RE;;2022-02-01_16-42-23;MWD;11;7;37,31392;37,54852;37,79496;0,23;0,25
;RE;;2022-02-01_16-42-23;TP;12;4;38,79798;39,04778;39,27315;0,25;0,23
;RE;;2022-02-01_16-42-23;MWD;12;2;40,27643;40,53842;40,7653;0,26;0,23
;RE;;2022-02-01_16-42-23;TP;13;7;41,76814;42,04512;42,29509;0,28;0,25
;RE;;2022-02-01_16-42-23;MWD;13;7;43,29642;43,59047;43,8123;0,29;0,22
;RE;;2022-02-01_16-42-23;TP;14;2;44,81465;45,12498;45,34568;0,31;0,22
;RE;;2022-02-01_16-42-23;MWD;14;2;46,35006;46,62133;46,82748;0,27;0,21
;RE;;2022-02-01_16-42-23;TP;15;1;47,83358;48,12243;48,33482;0,29;0,21
;RE;;2022-02-01_16-42-23;MWD;15;1;49,33929;49,7079;49,909;0,37;0,20
;RE;;2022-02-01_16-42-23;TP;16;4;50,91287;51,25636;51,47554;0,34;0,22
;RE;;2022-02-01_16-42-23;MWD;16;4;52,47991;52,93581;53,17697;0,46;0,24
;RE;;2022-02-01_16-42-23;TP;17;1;54,18372;54,91451;55,3881;0,73;0,47
;RE;;2022-02-01_16-42-23;MWD;17;7;56,39317;56,79987;57,30098;0,41;0,50
;RE;;2022-02-01_16-42-23;TP;18;2;58,30472;58,79717;59,25968;0,49;0,46
;RE;;2022-02-01_16-42-23;MWD;18;2;60,26272;60,64298;61,18497;0,38;0,54
