ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-15_14-26-05;TP;1;4;5,239882;5,239828;5,542517;4,696703;0,30
;RE;;2022-02-15_14-26-05;MWD;1;1;7,555485;7,957064;8,221619;0,40;0,26
;RE;;2022-02-15_14-26-05;TP;2;7;10,27347;10,60489;10,86064;0,33;0,26
;RE;;2022-02-15_14-26-05;MWD;2;4;12,86891;13,13065;13,37643;0,26;0,25
;RE;;2022-02-15_14-26-05;TP;3;1;15,3861;15,63759;15,97291;0,25;0,34
;RE;;2022-02-15_14-26-05;MWD;3;2;17,9769;18,25775;18,52804;0,28;0,27
;RE;;2022-02-15_14-26-05;TP;4;2;20,53142;20,74198;21,05139;0,21;0,31
;RE;;2022-02-15_14-26-05;MWD;4;7;23,06058;23,3317;23,62834;0,27;0,30
;RE;;2022-02-15_14-26-05;TP;5;2;25,63476;25,98086;26,27485;0,35;0,29
;RE;;2022-02-15_14-26-05;MWD;5;2;28,28463;28,80096;29,13837;0,52;0,34
;RE;;2022-02-15_14-26-05;TP;6;1;31,1419;31,63822;31,90275;0,50;0,26
;RE;;2022-02-15_14-26-05;MWD;6;1;33,90941;34,39429;34,73252;0,48;0,34
;RE;;2022-02-15_14-26-05;TP;7;4;36,74001;37,09607;37,37583;0,36;0,28
;RE;;2022-02-15_14-26-05;MWD;7;4;39,37863;39,921;40,2014;0,54;0,28
;RE;;2022-02-15_14-26-05;TP;8;7;42,21004;42,66142;42,9262;0,45;0,26
;RE;;2022-02-15_14-26-05;MWD;8;7;44,93105;45,32457;45,58323;0,39;0,26
;RE;;2022-02-15_14-26-05;TP;9;4;47,58946;48,0523;48,3374;0,46;0,29
;RE;;2022-02-15_14-26-05;MWD;9;1;50,34443;50,69211;50,96986;0,35;0,28
;RE;;2022-02-15_14-26-05;TP;10;1;52,97767;53,35791;53,66879;0,38;0,31
;RE;;2022-02-15_14-26-05;MWD;10;2;55,67458;56,03402;56,32991;0,36;0,30
;RE;;2022-02-15_14-26-05;TP;11;7;58,33982;58,74447;59,02487;0,40;0,28
;RE;;2022-02-15_14-26-05;MWD;11;7;61,02988;61,36467;61,64573;0,33;0,28
;RE;;2022-02-15_14-26-05;TP;12;2;63,65378;63,93597;64,18724;0,28;0,25
;RE;;2022-02-15_14-26-05;MWD;12;4;66,26284;66,55348;66,78495;0,29;0,23
;RE;;2022-02-15_14-26-05;TP;13;7;68,79184;69,0822;69,35261;0,29;0,27
;RE;;2022-02-15_14-26-05;MWD;13;7;71,36021;71,68254;71,93118;0,32;0,25
;RE;;2022-02-15_14-26-05;TP;14;1;73,94227;74,21007;74,46309;0,27;0,25
;RE;;2022-02-15_14-26-05;MWD;14;2;76,46978;76,80354;77,07066;0,33;0,27
;RE;;2022-02-15_14-26-05;TP;15;2;79,07773;79,35748;79,6436;0,28;0,29
;RE;;2022-02-15_14-26-05;MWD;15;4;81,65157;81,9063;82,1804;0,25;0,27
;RE;;2022-02-15_14-26-05;TP;16;4;84,1853;84,4077;84,69315;0,22;0,29
;RE;;2022-02-15_14-26-05;MWD;16;1;86,69769;86,98188;87,24462;0,28;0,26
;RE;;2022-02-15_14-26-05;TP;17;4;89,25431;89,5911;89,909;0,34;0,32
;RE;;2022-02-15_14-26-05;MWD;17;2;91,91636;92,24519;92,50889;0,33;0,26
;RE;;2022-02-15_14-26-05;TP;18;2;94,51289;94,8514;95,17712;0,34;0,33
;RE;;2022-02-15_14-26-05;MWD;18;7;97,18546;97,48801;97,74101;0,30;0,25
;RE;;2022-02-15_14-26-05;TP;19;7;99,74817;100,0547;100,3419;0,31;0,29
;RE;;2022-02-15_14-26-05;MWD;19;4;102,3517;102,6506;102,9161;0,30;0,27
;RE;;2022-02-15_14-26-05;TP;20;1;104,9263;105,2674;105,5786;0,34;0,31
;RE;;2022-02-15_14-26-05;MWD;20;1;107,5837;107,9157;108,1927;0,33;0,28
