ID;Bedingung;Block;BlockStart;BlockEnd;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
1;RE;1;2022-01-23_14-58-26;;TP;1;1;4,110489;4,110476;4,318543;3,350744;0,21
1;RE;1;2022-01-23_14-58-26;;MWD;1;2;5,324162;5,697651;5,888641;0,37;0,19
1;RE;1;2022-01-23_14-58-26;;TP;2;4;6,893543;7,231164;7,436518;0,34;0,21
1;RE;1;2022-01-23_14-58-26;;MWD;2;1;8,440328;8,765319;8,959233;0,32;0,19
1;RE;1;2022-01-23_14-58-26;;TP;3;2;9,963927;10,25253;10,45464;0,29;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;3;7;11,4563;11,86666;12,06281;0,41;0,20
1;RE;1;2022-01-23_14-58-26;;TP;4;7;13,06866;13,40835;13,60708;0,34;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;4;4;14,6112;14,94775;15,13503;0,34;0,19
1;RE;1;2022-01-23_14-58-26;;TP;5;4;16,13773;16,43864;16,62643;0,30;0,19
1;RE;1;2022-01-23_14-58-26;;MWD;5;4;17,62887;17,90842;18,08537;0,28;0,18
1;RE;1;2022-01-23_14-58-26;;TP;6;7;19,08696;19,36222;19,54907;0,28;0,19
1;RE;1;2022-01-23_14-58-26;;MWD;6;1;20,55296;20,93834;21,14478;0,39;0,21
1;RE;1;2022-01-23_14-58-26;;TP;7;1;22,14863;22,42265;22,62447;0,27;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;7;7;23,62651;23,9032;24,09439;0,28;0,19
1;RE;1;2022-01-23_14-58-26;;TP;8;2;25,10011;25,4346;25,62196;0,33;0,19
1;RE;1;2022-01-23_14-58-26;;MWD;8;2;26,62578;26,97508;27,15903;0,35;0,18
1;RE;1;2022-01-23_14-58-26;;TP;9;2;28,16143;28,50405;28,68651;0,34;0,18
1;RE;1;2022-01-23_14-58-26;;MWD;9;4;29,68869;30,00101;30,18952;0,31;0,19
1;RE;1;2022-01-23_14-58-26;;TP;10;7;31,19361;31,5169;31,71193;0,32;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;10;1;32,7182;33,08951;33,29365;0,37;0,20
1;RE;1;2022-01-23_14-58-26;;TP;11;1;34,29805;34,64309;34,83699;0,35;0,19
1;RE;1;2022-01-23_14-58-26;;MWD;11;7;35,83931;36,28192;36,47727;0,44;0,20
1;RE;1;2022-01-23_14-58-26;;TP;12;4;37,48222;37,87731;38,08701;0,40;0,21
1;RE;1;2022-01-23_14-58-26;;MWD;12;2;39,09591;39,45307;39,67109;0,36;0,22
1;RE;1;2022-01-23_14-58-26;;TP;13;7;40,67675;41,04316;41,24958;0,37;0,21
1;RE;1;2022-01-23_14-58-26;;MWD;13;4;42,25233;42,58144;42,79559;0,33;0,21
1;RE;1;2022-01-23_14-58-26;;TP;14;1;43,7995;44,14513;44,34733;0,35;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;14;1;45,34877;45,67073;45,88431;0,32;0,21
1;RE;1;2022-01-23_14-58-26;;TP;15;4;46,88815;47,19021;47,41175;0,30;0,22
1;RE;1;2022-01-23_14-58-26;;MWD;15;2;48,41352;48,71259;48,91376;0,30;0,20
1;RE;1;2022-01-23_14-58-26;;TP;16;2;49,9157;50,23119;50,42122;0,32;0,19
1;RE;1;2022-01-23_14-58-26;;MWD;16;7;51,42549;52,00497;52,21205;0,58;0,21
1;RE;1;2022-01-23_14-58-26;;TP;17;2;53,21522;53,559;53,76473;0,34;0,21
1;RE;1;2022-01-23_14-58-26;;MWD;17;1;54,76947;55,22211;55,41864;0,45;0,20
1;RE;1;2022-01-23_14-58-26;;TP;18;7;56,42273;56,79123;56,99142;0,37;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;18;4;57,99322;58,32179;58,52954;0,33;0,21
1;RE;1;2022-01-23_14-58-26;;TP;19;4;59,53179;59,90814;60,10788;0,38;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;19;2;61,11036;61,4151;61,62624;0,30;0,21
1;RE;1;2022-01-23_14-58-26;;TP;20;1;62,6292;62,91219;63,11696;0,28;0,20
1;RE;1;2022-01-23_14-58-26;;MWD;20;7;64,12106;64,41259;64,6227;0,29;0,21
